Name,Description,Note,Created,Last edited time,length,Created by,Days
四足動物則依靠呼吸來散熱,《身體》,,"April 27, 2022 5:01 PM","April 27, 2022 5:01 PM",12,imac-fly,0
要倚賴對方，也讓對方依賴。,《老公使用說明書》,,"November 1, 2022 11:32 PM","November 1, 2022 11:32 PM",13,imac-fly,0
我們依靠他人，以成為完整的自己。,"《最後一次相遇，我們只談喜悅（暢銷新版）》
",,"January 7, 2023 8:02 PM","May 1, 2023 9:47 AM",16,imac-fly,113
自己想做的事，就依自己想做的方式去做。,《身為職業小說家》,,"May 7, 2022 12:16 PM","May 1, 2023 9:47 AM",19,imac-fly,358
不確定該怎麼做時，我們會依賴群體指引行為。,《原子習慣》,,"June 13, 2022 5:05 PM","June 13, 2022 5:05 PM",21,imac-fly,0
我們人類一直都依賴故事來免於對未知的恐懼。,《摺紙動物園》,,"May 2, 2022 12:45 PM","May 2, 2022 12:45 PM",21,imac-fly,0
運用你喜歡的觀念和訣竅，依你的需要調整它們。,"《設計思考全攻略》",,"March 14, 2023 9:00 PM","May 1, 2023 9:48 AM",22,imac-fly,47
我們若依戀生命，不朽便無法安撫我們接受死亡。,《一場極為安詳的死亡》,,"October 30, 2022 7:41 AM","October 30, 2022 7:41 AM",22,imac-fly,0
哀悼正是學會以其他方式繼續滿足依附需求的過程。,"《悲傷的大腦》",,"April 21, 2023 2:31 PM","May 1, 2023 9:47 AM",23,imac-fly,9
納許均衡顯示了賽局理論最終的教訓正是相互依賴。,"《人類使用說明書》",,"March 4, 2023 12:25 PM","May 1, 2023 9:47 AM",23,imac-fly,57
"所以越依賴科技，你的大腦就越沒有機會使用。","《越無聊，越開竅》",,"January 16, 2023 11:57 AM","January 16, 2023 11:57 AM",23,imac-fly,0
"與依附對象分離作為會引起恐懼的情境相當普遍。","《依戀理論三部曲2：分離焦慮》",,"April 30, 2023 7:24 PM","April 30, 2023 7:24 PM",24,imac-fly,0
"愈是受到依賴，男孩子就愈莊重、有智慧且堅定。","《兒子使用說明書》",,"February 27, 2023 10:27 AM","February 27, 2023 10:27 AM",24,imac-fly,0
一旦開了口說話，彼此就會產生一種互相依存的關係。,"《心安的練習：一位麻醉醫師的人間修行》",,"February 25, 2023 8:28 AM","April 26, 2023 7:36 PM",24,imac-fly,60
佛洛依德，就是正常性的歷史上最重要的思想家之一。,"《不一樣又怎樣》",,"February 2, 2023 9:13 AM","May 1, 2023 9:47 AM",24,imac-fly,88
"專注的心只有它自己，單獨而不依賴任何外在事物。","《進入禪定的第一堂課：超越觀呼吸》",,"March 25, 2023 10:35 AM","March 25, 2023 10:35 AM",25,imac-fly,0
