Name,Description,Note,Created,Last edited time,length,Created by,Days
紀律和勇往直前。,"《讓95%的顧客主動推薦你（新編版）》",,"January 27, 2023 7:31 AM","May 2, 2023 1:22 PM",8,imac-fly,95
比起信心，更重要的是勇氣。,《人生給的答案Ⅰ》,,"November 20, 2022 10:47 AM","May 2, 2023 1:22 PM",13,imac-fly,163
風浪不會讓你勇敢，愛才會。,《世界並不仁慈，但也不會虧待你》,,"November 9, 2022 3:53 PM","May 2, 2023 1:22 PM",13,imac-fly,173
勇於面對所有壓迫你的勢力。,《希望歌德×絕望卡夫卡的人生論》,,"October 26, 2022 2:24 PM","May 2, 2023 1:22 PM",13,imac-fly,187
不與脆弱共處，就無法獲得勇氣。,《轉念的力量》,,"July 17, 2022 9:04 AM","May 2, 2023 1:22 PM",15,imac-fly,289
直到二十八歲才有那樣的勇氣承認。,我愛表演，我愛現。,,"July 1, 2022 2:46 PM","May 2, 2023 1:22 PM",16,imac-fly,304
勇敢不是沒有恐懼，而是克服恐懼。,《最後一次相遇，我們只談喜悅》,,"May 29, 2022 10:17 PM","May 2, 2023 1:22 PM",16,imac-fly,337
"開口的勇氣，就是活下去的力量。","《從絕望到希望的阿德勒幸福論》",,"April 5, 2023 12:46 AM","April 5, 2023 12:46 AM",17,imac-fly,0
社群網絡的建立是為了給不幸的人勇氣。,《說書人和他的閱讀處方箋》,,"May 6, 2022 6:09 PM","May 6, 2022 6:09 PM",18,imac-fly,0
"勇氣與正向思考是截然不同的兩件事。","《失控的正向思考》",,"March 30, 2023 12:56 PM","March 30, 2023 12:56 PM",19,imac-fly,0
"實踐自我關懷需要力量、勇氣和信心。","《訓練大腦，讓自己更強大》",,"February 12, 2023 12:23 PM","February 12, 2023 12:23 PM",19,imac-fly,0
它不是對他人的征服，而是深入自我的勇氣。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 26, 2022 3:11 PM","May 2, 2023 1:25 PM",20,imac-fly,340
不曉得害怕的人不算勇者，勇者是戰勝恐懼的人。,《最後一次相遇，我們只談喜悅》,,"May 29, 2022 10:17 PM","May 2, 2023 1:25 PM",22,imac-fly,337
對話中有一些開放空白的空間，能夠顯示你的勇氣。,《科學脫魯法》,,"April 21, 2022 10:06 AM","April 27, 2023 3:30 PM",23,imac-fly,371
被佛洛姆推舉為最重要的人格特徵：自覺、謙卑和勇氣。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 26, 2022 3:13 PM","May 2, 2023 1:25 PM",25,imac-fly,340
遺憾的是，大多數人不知道自己有得選，也沒有勇氣選擇。,"《底層邏輯》",,"January 12, 2023 4:14 PM","May 2, 2023 1:25 PM",26,imac-fly,109
"不喜歡自己就無法擁有勇氣，也就缺乏面對課題的能力。","《從絕望到希望的阿德勒幸福論》",,"April 5, 2023 12:36 AM","April 5, 2023 12:36 AM",27,imac-fly,0
要進步，就得勇敢離開工作坊或工作室的庇護，踏入真實的。,《專家之路：從學徒到大師》,,"October 30, 2022 1:12 PM","May 2, 2023 1:25 PM",27,imac-fly,184
"阿蘭的言談總是充滿生命的勇氣，這正是人間條件的現實。","《論哲學家》",,"April 5, 2023 12:54 AM","April 5, 2023 12:54 AM",28,imac-fly,0
你必須勇敢面對自己的生命，這樣別人才會勇敢對待他們的生命,《不完美的禮物》,,"December 22, 2022 10:11 PM","December 22, 2022 10:11 PM",28,imac-fly,0
「奴隸」樂天安命，滿足現狀，「主人」卻積極進取，勇於創造。,"《尼采在世紀的轉折點上》",,"March 17, 2023 11:21 PM","May 2, 2023 1:25 PM",29,imac-fly,45
這些是我們上路追尋最重要的東西時，需要跟自己做的勇敢對話。,"《人生的行銷企劃書》",,"January 23, 2023 11:11 PM","May 2, 2023 1:25 PM",29,imac-fly,98
原來勇敢會忘記，勇敢這件事每個人都可以擁有，卻也容易失守。,《我心我行．Salute》,,"May 2, 2022 3:00 PM","May 2, 2022 3:00 PM",29,imac-fly,0
有時候你需要鼓起勇氣面對你的恐懼，並且在實作中重新學習嫉妒。,"《道德浪女》",,"January 27, 2023 3:42 PM","May 2, 2023 1:25 PM",30,imac-fly,94
游牧者都是勇敢的，且有時因為資源有限，所以充滿冒險犯難精神。,"《新游牧者之歌》",,"January 7, 2023 2:19 PM","May 2, 2023 1:26 PM",30,imac-fly,114
記得我上一章提出的挑戰：勇敢做個不同的夢──你真心想要的未來。,《也許你該跟未來學家談談》,,"November 9, 2022 9:53 AM","November 9, 2022 9:53 AM",31,imac-fly,0
有信仰的前提是有勇氣，有去冒險的能力，隨時準備好接受痛苦和失望。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"October 29, 2022 1:11 PM","October 29, 2022 1:11 PM",32,imac-fly,0
有信仰的前提是有勇氣，有去冒險的能力，隨時準備好接受痛苦和失望。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 26, 2022 1:15 PM","May 2, 2023 1:26 PM",32,imac-fly,310
開口要求支持、分享脆弱的感受，都需要勇氣，讓我們表揚這種勇氣吧！,《道德浪女》,,"June 13, 2022 11:55 AM","June 13, 2022 11:55 AM",32,imac-fly,0
「推」給我們的不只是甜蜜的感動和愛戀，而是再一次正視夢想的勇氣。,《生而為粉，我很幸福》,,"June 7, 2022 10:14 PM","June 7, 2022 10:14 PM",32,imac-fly,0
當你將焦慮導向追求目標、將目標設定成優先事項時，焦慮就會變成勇氣。,"《高效焦慮法》",,"April 14, 2023 8:51 PM","May 2, 2023 1:26 PM",33,imac-fly,17
熱情是充滿活力的，它可以培養在不確定的情況下，做出承諾所需的勇氣。,"《生態系競爭策略》",,"January 8, 2023 9:41 PM","May 2, 2023 1:26 PM",33,imac-fly,113
"如果說進步主義是勇往直前的箭頭，那保守主義就是個滴水不漏的圓圈。","《欲望分子多巴胺》",,"March 8, 2023 3:30 PM","March 8, 2023 3:30 PM",34,imac-fly,0
絕望的勇氣和愛的勇氣是相互對立的，就像信仰權力和信仰生命是相互對立的。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 26, 2022 1:16 PM","May 2, 2023 1:26 PM",35,imac-fly,310
請記住，在這個政治極化的時代，真正的勇氣在於能夠真正與不同立場的人互動。,《新游牧者之歌》,,"November 21, 2022 10:06 PM","May 2, 2023 1:26 PM",36,imac-fly,161
你可以將自己的筆記本看作是顯示自己並不完美的證據，或是你展現勇氣的明證。,《子彈思考整理術》,,"November 12, 2022 10:25 AM","November 12, 2022 10:25 AM",36,imac-fly,0
當你有勇氣開口說出你的脆弱時，你身邊的人也會如獲特赦地開口說出他們的脆弱。,《道德浪女》,,"April 28, 2022 7:53 AM","April 28, 2022 7:53 AM",37,imac-fly,0
公開的決裂至少可以教孩子明白，人能夠靠勇敢的決斷結束一種不可容忍的生活狀況。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 3, 2022 10:09 AM","May 3, 2022 10:09 AM",38,imac-fly,0
勇敢地吸收所有來到眼前的經驗，充分地浸潤，直到你的詩成為完整個體，而不是碎片。,"《論自我與寫作》",,"February 14, 2023 11:15 AM","May 2, 2023 1:26 PM",39,imac-fly,77
"我們常常著眼於改變對方，而非建設自我價值，這使得我們少了承擔自己生命的勇氣。","《阿德勒談生命風格》",,"March 29, 2023 3:18 PM","March 29, 2023 3:18 PM",40,imac-fly,0
一個勇敢的人，不是因為他征服了恐懼的情緒，而是他決定了恐懼並不是他想顯現的情緒。,"《沒有別人，怎麼做自己？》
",是決定想要的情緒,"January 10, 2023 5:20 PM","May 2, 2023 1:26 PM",40,imac-fly,111
"問題不在於：我們的孩子能不能好好掌控自由？問題在於：我們有沒有勇氣給他們自由？","《人慈》",,"February 1, 2023 11:01 AM","February 1, 2023 11:01 AM",41,imac-fly,0
你最需要鼓起勇氣去做的事情不是戰勝別人，而是不管別人怎麼說，都要忠於最真實的自我。,"《原則》
",,"January 5, 2023 1:48 PM","May 2, 2023 1:26 PM",41,imac-fly,116
知識最個人化的這一面，意味著要賦予個人勇氣去決定自己的人生，無需教師或教士的指點。,《在阿爾卑斯山與尼采相遇》,,"October 27, 2022 1:00 PM","October 27, 2022 1:00 PM",41,imac-fly,0
要能夠愛和被愛需要勇氣：斷定某些價值無比重要的勇氣，把一切押注在這些價值上的勇氣。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 26, 2022 1:16 PM","April 11, 2023 6:45 PM",41,imac-fly,289
"以色列匯聚的不只是受到迫害的難民，還有具有強大信仰與企圖心的人民，是勇者的熔爐。","《跟以色列人做生意，和你想的不一樣！》",,"April 28, 2023 11:21 AM","April 28, 2023 11:21 AM",42,imac-fly,0
非常簡單的方式表達極為複雜的道理。要有勇氣深入淺出地自我表達，必須先有勇氣傾聽自己。,"《自信的躍進》",,"February 8, 2023 3:32 PM","March 22, 2023 12:12 PM",42,imac-fly,41
這就是解脫束縛、勇於面對挑戰的反應──你心想，我絕不會被擊倒。我要好好把握這個機會。,《大腦解鎖》,,"April 21, 2022 7:07 PM","April 21, 2022 7:07 PM",42,imac-fly,0
"關於「被討厭的勇氣」，或許我們先學著接受自己的卑劣黑暗面，才有機會讓勇氣誕生出來。","《喜劇媽媽桑幽默表達學》",,"April 13, 2023 10:10 PM","April 13, 2023 10:10 PM",43,imac-fly,0
"書寫最重要的優點即是，當我們對某事並不是真的瞭解時，寫作可以幫助我們勇於面對自己。","《卡片盒筆記》",,"February 15, 2023 6:57 PM","February 15, 2023 6:57 PM",43,imac-fly,0
"只要每個人都能好好運用自卑感，培養適當的社會興趣，就能萌生勇氣，融入社會並適應良好。","《從絕望到希望的阿德勒幸福論》",,"April 5, 2023 12:41 AM","April 5, 2023 12:41 AM",44,imac-fly,0
"有時候，執行慷慨型權威需要有不怕被討厭的勇氣，才能讓與會的賓客享受到最棒的聚會體驗。","《這樣聚會，最成功！》",,"February 28, 2023 12:17 PM","February 28, 2023 12:17 PM",44,imac-fly,0
想控制住恐懼，你就必須刻意地做出勇敢行為。這是由你做出的選擇，也是每個人都能做出的選擇。,《真正無懼的身心防彈術》,,"September 9, 2022 8:48 AM","May 2, 2023 1:26 PM",44,imac-fly,235
相信人天生好心，並不是感情用事、也不是天真。相反地，相信和平與原諒，是勇敢而切乎實際的。,《人慈》,,"May 22, 2022 9:22 AM","May 22, 2022 9:22 AM",44,imac-fly,0
"自信並非相信自己，而是找到面對不確定性的勇氣，不逃避未知，在疑惑中找到繼續前進的動力。","《自信的躍進》",,"February 8, 2023 3:36 PM","February 8, 2023 3:36 PM",45,imac-fly,0
"相信人天生好心，並不是感情用事、也不是天真。相反地，相信和平與原諒，是勇敢而切乎實際的。","《人慈》",,"February 1, 2023 11:03 AM","February 1, 2023 11:03 AM",46,imac-fly,0
換句話說，這是人生中最勇於冒險、尋求新奇（noveltyseeking）及同儕歸屬感的時期。,《行為》,,"July 14, 2022 11:04 PM","July 14, 2022 11:04 PM",46,imac-fly,0
