Name,Description,Note,Created,Last edited time,length,Created by,Days
學校是中產階級強加給勞工階級文化的東西。,《即興》,,"September 28, 2022 8:02 PM","September 28, 2022 8:02 PM",20,imac-fly,0
"學校要怎麼幫助學生為不斷變動的經濟大環境做好準備？","《重新想像教育的未來》",,"April 23, 2023 11:01 PM","April 23, 2023 11:01 PM",27,imac-fly,0
"學校應該使學生為自己負起經濟責任，並學習經濟獨立。","《重新想像教育的未來》",,"April 23, 2023 11:01 PM","April 23, 2023 11:01 PM",27,imac-fly,0
學校應該使學生了解自己的文化，以及尊重各式各樣的其他文化。,"《重新想像教育的未來》",,"April 23, 2023 11:00 PM","April 28, 2023 11:54 AM",29,imac-fly,4
如果你覺得教育很昂貴，試試看無知吧！──德瑞克．包克，前哈佛大學校長,《這些話，為什麼這麼有哏？！》,,"June 11, 2022 4:36 PM","April 28, 2023 11:56 AM",34,imac-fly,320
"對學習者來講，學校就是一群跟他一起學的人，老師也是一起學的人之一。","《我的99個私抽屜》",,"March 10, 2023 9:01 PM","March 10, 2023 9:01 PM",35,imac-fly,0
"一個健康的學校生態系統會授權給老師、鼓勵老師，並幫助他們成長與發展。","《重新想像教育的未來》",,"April 23, 2023 11:07 PM","April 23, 2023 11:07 PM",36,imac-fly,0
學校的教育並非只教專業學科，盡可能以廣泛的領域當作對象，應該教育出通才。,"《5000天後的世界》",,"January 15, 2023 11:29 PM","April 28, 2023 11:54 AM",36,imac-fly,102
"當教育政策的決策者開始敦促排名和成長，家長和學校也會著迷於考試和成果。","《人慈》",,"February 1, 2023 10:22 AM","February 1, 2023 10:22 AM",37,imac-fly,0
我對學校的期望，只有「不要抹殺有想像力的孩子們的想像力」這一件事而已。這就夠了。,《身為職業小說家》,,"April 26, 2022 11:01 PM","April 26, 2022 11:01 PM",40,imac-fly,0
現代希臘人在學校裡學的那些東西，是讓他們認為自己遠不如祖先優越。他們聽了甚為沮喪。,《你管別人怎麼想》,,"November 14, 2022 2:19 PM","April 28, 2023 11:54 AM",41,imac-fly,164
學校會教的東西，在學校學就好。學校不是用來炫耀知識的地方，而是學習新知的有趣世界。,《家人使用說明書》,,"July 24, 2022 12:33 PM","July 24, 2022 12:33 PM",41,imac-fly,0
四個最常見的跨時代主題是被追逐的夢、墜落之夢、關於學校場景的夢，或是關於性經驗的夢。,《夢的科學》,,"December 14, 2022 5:49 PM","December 14, 2022 5:49 PM",42,imac-fly,0
政治極端主義的誘惑非常類似黑幫，都是訴諸於家庭破碎、學校適應不良、前途黯淡的男性青年。,"《年輕人為何憤怒》",,"January 27, 2023 8:49 AM","April 28, 2023 11:54 AM",43,imac-fly,91
多年來《觀看的方式》（一九七二年）在藝術學校或是藝術史導論的課堂上放映，用來促進文化排毒。,《凝視約翰．伯格》,,"May 18, 2022 11:37 PM","May 18, 2022 11:37 PM",45,imac-fly,0
蒙特梭利教室強調自主式學習、運用各式各樣的材料（包括動植物）動手實做及結構鬆散的學校生活。,《第二次機器時代》,,"April 19, 2022 10:25 AM","April 28, 2023 11:54 AM",45,imac-fly,374
"中愈來愈困難的事，而我們必須幫助年輕人掌握這個能力。批判性思考應該成為學校所有學科的核心。","《重新想像教育的未來》",,"April 23, 2023 11:04 PM","April 23, 2023 11:04 PM",47,imac-fly,0
在家庭之外，兩個提供男性角色典範最重要的機構是學校和如教堂、清真寺、廟宇和猶太教會堂等禮拜場所。,"《年輕人為何憤怒》",,"January 27, 2023 9:05 AM","April 28, 2023 11:54 AM",48,imac-fly,91
