Name,Description,Note,Created,Last edited time,length,Created by,Days
宇宙即變化，人生即念頭。,《沉思錄》,,"May 23, 2022 6:04 PM","May 23, 2022 6:04 PM",12,imac-fly,0
宇宙正在進入一種脫韁模式。,"《神的方程式》",,"March 31, 2023 11:08 AM","May 4, 2023 2:34 PM",13,imac-fly,34
宇宙萬物在古人看來就是氣。,《傅佩榮．經典講座：莊子》,,"December 21, 2022 7:24 PM","May 4, 2023 2:33 PM",13,imac-fly,133
宇宙並不存在一個讓物體趨向的中心。,"《【牛津通識課．宇宙篇】重力》",,"April 11, 2023 3:33 PM","May 4, 2023 2:33 PM",17,imac-fly,22
宇宙最不能理解之處，在於它可以被理解。,《萬物皆數：諾貝爾物理獎得主探索宇宙深層設計之美》,,"July 9, 2022 1:10 PM","July 9, 2022 1:10 PM",19,imac-fly,0
圖多斯人認為宇宙中的所有事物都能閱讀。,《摺紙動物園》,,"April 20, 2022 5:42 PM","April 20, 2022 5:42 PM",19,imac-fly,0
宇宙正在擴張中，各星系正彼此相互遠離中。,《霍金大見解》,,"June 4, 2022 9:59 PM","May 4, 2023 2:33 PM",20,imac-fly,333
貧窮與太陽導引且平衡了他的宇宙觀與人生觀。,《荒謬之外：卡繆思想研究》,,"October 26, 2022 5:16 PM","May 2, 2023 8:44 PM",21,imac-fly,188
致力於回到與宇宙合一的生命之初最自然的狀態。,"《形如莊子、心如莊子、大情學莊子：從生手到專家之路》",,"April 29, 2023 8:26 PM","May 4, 2023 2:34 PM",22,imac-fly,4
對柏拉圖來說，理性是人類把握宇宙秩序的能力。,"《睡眠、夢和死亡過程》",,"March 12, 2023 9:20 AM","April 29, 2023 4:39 AM",22,imac-fly,47
難道我們不是在一點一滴地增加宇宙中孤獨的總和嗎？,《如果我們無法以光速前進》,,"September 18, 2022 7:31 AM","May 4, 2023 2:34 PM",24,imac-fly,228
重力與電力的比值和宇宙與質子半徑的比值是相等的！,《物理之美》,,"April 29, 2022 3:40 PM","April 29, 2022 3:40 PM",24,imac-fly,0
量子力學告訴我們，宇宙在時間上永遠向後和向前推展。,《宇宙大哉問》,,"September 21, 2022 9:42 PM","September 21, 2022 9:42 PM",25,imac-fly,0
宇宙速限只適用於物體之間的相對速度，而不是絕對速度。,《這世界難捉摸》,,"September 21, 2022 9:57 PM","September 21, 2022 9:57 PM",26,imac-fly,0
能不能單單預測一個宇宙？大概不能，這就稱為地景問題。,《神的方程式》,,"June 4, 2022 11:53 AM","May 4, 2023 2:35 PM",26,imac-fly,334
"規範宇宙只有四種力：重力、電磁力、弱核力和強核力。","《2050科幻大成真（2019年全新封面版）》",,"March 31, 2023 11:35 AM","March 31, 2023 11:35 AM",27,imac-fly,0
"理性的表現在於慎思明辨，能對宇宙與人生說出一番道理。","《人生雖然有點廢，就靠哲學翻轉它【第一部】：跟著37位哲學家解開生命的大哉問》",,"April 27, 2023 6:46 PM","April 27, 2023 6:46 PM",28,imac-fly,0
因為聆聽，我們發現外在天地的遼闊，也看見內在宇宙的無限。,《聆聽之路》,,"September 27, 2022 5:56 PM","May 2, 2023 9:08 AM",28,imac-fly,216
冥想的另一個好處是，親自體驗與宇宙生命能量合而為一的感受。,"《我「決定」活到120歲》",,"February 20, 2023 10:51 AM","May 4, 2023 2:34 PM",29,imac-fly,73
如果有人能以光速飛行，他會發現自己同時存在於宇宙的每個角落。,"《宇宙從我心中生起：羅伯．蘭薩的生命宇宙論》",,"February 18, 2023 11:31 AM","February 20, 2023 9:53 AM",30,imac-fly,1
把令人討厭的事件放到廣袤的宇宙背景中，這種事情的微不足道就。,"《善用悲觀的力量：培養逆境抵抗力，放大簡單的快樂，打破不滿足的慣性》",,"January 26, 2023 9:52 PM","May 4, 2023 2:34 PM",30,imac-fly,97
數學其實對實際的宇宙不太關心。數學關切的不是東西，而是想法。,《塗鴉學數學》,,"May 23, 2022 12:05 PM","May 23, 2022 12:05 PM",30,imac-fly,0
處在一個突然之間喪失幻象與光明的宇宙中，人便自覺是一個異鄉人。,《荒謬之外：卡繆思想研究》,,"October 26, 2022 5:23 PM","May 4, 2023 2:34 PM",31,imac-fly,189
"在宇宙時間軸上，條件容許自省生物存續的時段，很可能極端短暫。","《眺望時間的盡頭》",,"April 5, 2023 11:37 AM","April 5, 2023 11:37 AM",32,imac-fly,0
"從看似無關緊要的小事中察覺「感謝」的那一刻，就能接近宇宙真理。","《去書店買個好人生》",,"January 16, 2023 2:20 PM","January 16, 2023 2:20 PM",33,imac-fly,0
能夠正確理解宇宙的主體並非我們人類，在我們之後，還有更高等的物種。,《種族滅絕》,,"October 3, 2022 1:33 PM","October 3, 2022 1:33 PM",33,imac-fly,0
亞里斯多德認為宇宙是一個和諧運作又龐大的生態系統，各種目的隨處可見,《科學大歷史》,,"April 29, 2022 6:48 PM","April 29, 2022 6:48 PM",33,imac-fly,0
真相就是人皆有一死。在這不可知而有限的宇宙中，人的命運自此有了意義。,《薛西弗斯的神話》,,"June 7, 2022 10:21 AM","May 4, 2023 2:35 PM",34,imac-fly,331
我們可以把認知視為「經驗的自我」與「遍布宇宙的某種能場」融合而成的產物。,"《宇宙從我心中生起：羅伯．蘭薩的生命宇宙論》",,"February 18, 2023 11:46 AM","February 20, 2023 9:53 AM",36,imac-fly,1
時間倒流會打破因果關係。如果你想讓宇宙合情合理，那就要嚴肅看待因果關係。,《這世界難捉摸》,,"September 21, 2022 9:50 PM","September 21, 2022 9:50 PM",36,imac-fly,0
我是剛好活著，沒有宇宙法則說我該活著。活著只是碰巧，不保證我能多活一天。,《人生4千個禮拜》,,"May 6, 2022 9:37 AM","May 6, 2022 9:37 AM",36,imac-fly,0
"在宇宙中測到的重力，有85%的重力源是我們看不到、摸不到也感受不到的。","《宇宙必修課》",,"May 1, 2023 10:28 PM","May 1, 2023 10:28 PM",37,imac-fly,0
每塊石頭都是可以在手上把玩的小型宇宙。文人石不是景觀的暗喻，本身就是景觀。,《心向群山》,,"December 26, 2022 11:57 AM","December 26, 2022 11:57 AM",37,imac-fly,0
無論何時，都要把宇宙當成一個共同的生命體，內含一個共同的實體、共同的靈魂。,《沉思錄》,,"September 16, 2022 8:13 PM","February 1, 2023 6:31 PM",37,imac-fly,137
音樂是宇宙真象的直接表達，是眾多藝術形式最接近意志，最不受表象世界的約束。,《尼采：從酒神到超人》,,"April 11, 2022 2:09 PM","April 11, 2022 2:09 PM",37,imac-fly,0
"自認無所不知的人，從來不會去尋找，也不會碰巧發現到宇宙未知與已知的界線。","《宇宙必修課》",,"May 1, 2023 10:38 PM","May 1, 2023 10:38 PM",38,imac-fly,0
"斯多亞學派有一格言：「依自然而活」，「自然」即宇宙運行的律則，受理性支配。","《人生雖然有點廢，就靠哲學翻轉它【第一部】：跟著37位哲學家解開生命的大哉問》",,"April 27, 2023 7:04 PM","April 27, 2023 7:04 PM",39,imac-fly,0
因為在大霹靂之前，時間這樣的概念並不存在。時間的觀念只存在於我們目前的宇宙裡。,《霍金大見解》,,"June 4, 2022 10:03 PM","June 4, 2022 10:03 PM",39,imac-fly,0
道家除了重視「人和」之外，更由宇宙的和諧（「天和」）談到心靈的和諧（「心和」）。,"《道家的人文精神》",,"February 4, 2023 5:11 PM","May 4, 2023 2:34 PM",40,imac-fly,88
宇宙很討厭真空的狀態，所以如果你有一個很大的財富容器，它就會忙著把你的容器填滿。,《有錢人想的和你不一樣》,,"November 19, 2022 5:35 PM","November 19, 2022 5:35 PM",40,imac-fly,0
良性依賴宇宙資源的故事。卡拉只要願意接收任何源頭所提供的好處，她便不再遭受迫害。,《創作，是心靈療癒的旅程》,,"November 18, 2022 8:48 AM","November 18, 2022 8:48 AM",40,imac-fly,0
沒有人能阻止你按照本性的理智而活，凡是與宇宙本性理智相違的事，不會在你身上發生。,《沉思錄》,,"September 16, 2022 9:03 PM","September 16, 2022 9:03 PM",40,imac-fly,0
可以採取這種高遠超然的視角，和宇宙的無邊無涯一比，你的天大問題突然變得無足輕重了。,"《斯多葛生活哲學55個練習》",,"February 3, 2023 11:10 AM","May 4, 2023 2:34 PM",41,imac-fly,90
當人能夠感知宇宙萬物，並培養出深刻的洞見，那麼，世間所有的附生物都會顯得賞心悅目。,《沉思錄》,,"September 16, 2022 6:50 PM","September 16, 2022 6:50 PM",41,imac-fly,0
你在太空中也會發現，地球是多麼地獨特又脆弱。全宇宙根本沒有任何東西能夠跟地球比擬。,《太空旅行指南：從宇宙現象、天體環境、生理準備到心理調適》,,"May 17, 2022 10:44 AM","May 17, 2022 10:44 AM",41,imac-fly,0
宇宙並不是滋長生命的仁慈搖籃，而是冰冷孤單而且危險的地方，所以我們更應該彼此友愛。,《宇宙必修課》,,"April 18, 2022 1:53 PM","May 4, 2023 10:52 AM",41,imac-fly,380
"宇宙是充滿動態的整體，由相反價的能量結合在一起，能量無論怎麼轉變，永遠都會守恆。","《初戀和最後的故事：關於大腦、生命和愛，奧立佛．薩克斯的記憶之書》",,"May 1, 2023 11:20 AM","May 1, 2023 11:20 AM",42,imac-fly,0
"顏色是一種既客觀又主觀的東西。「顏色，」塞尚說，「是我們的大腦與宇宙交會之處。」","《世界是什麼顏色？》",,"February 20, 2023 3:17 PM","February 20, 2023 3:17 PM",42,imac-fly,0
你拿人生來做什麼，其實根本沒那麼重要。你用你有限的時間做什麼，宇宙真的一點都不在乎。,《人生4千個禮拜》,,"May 27, 2022 4:59 AM","May 27, 2022 4:59 AM",42,imac-fly,0
我不敢相信神秘的宇宙是繞著痛苦的軸心旋轉，人世間異常之美，必定是建立在純粹喜悅的基礎上。,波茛（LouiseBogan，詩人）,,"September 25, 2022 11:58 AM","September 25, 2022 11:58 AM",44,imac-fly,0
「無限」是個難以理解的概念，但在一個無限久的宇宙中，任何「可以」發生的事情最終都「會」發生,《宇宙大哉問》,,"November 8, 2022 12:22 PM","November 8, 2022 12:22 PM",45,imac-fly,0
愛因斯坦的相對論使得一切都是相對的，所以不同觀察者對於宇宙裡事件的先後順序，會有不同的描述,《這世界難捉摸》,,"September 21, 2022 9:57 PM","September 21, 2022 9:57 PM",45,imac-fly,0
腳踏實地才是正途，從能夠撼動宇宙、神一般的幻想，回到具體、有限且通常很美好的真實生活體驗。,《人生4千個禮拜》,,"July 26, 2022 7:45 AM","July 26, 2022 7:45 AM",45,imac-fly,0
你要對挫敗心存感恩。讓生命的旅程用自己的步調和迂迴的方式前進。宇宙也許為你預備了其他計畫。,《僧人心態》,,"July 23, 2022 9:36 AM","July 23, 2022 9:36 AM",45,imac-fly,0
為什麼有東西，而不是什麼都沒有？因為我們的宇宙原本就是產生自「什麼都沒有」裡面的量子漲落。,《神的方程式》,,"June 4, 2022 11:57 AM","June 4, 2022 11:57 AM",45,imac-fly,0
腳踏實地才是正途，從能夠撼動宇宙、神一般的幻想，回到具體、有限且通常很美好的真實生活體驗。,《人生4千個禮拜》,,"May 31, 2022 6:24 PM","May 31, 2022 6:24 PM",45,imac-fly,0
想起以宇宙的時間來講，你到底有多不重要，你會感到如釋重負，放下多數人沒意識到自己扛著的包袱。,《人生4千個禮拜》,,"July 23, 2022 9:28 AM","July 23, 2022 9:28 AM",46,imac-fly,0
特斯拉（NikolaTesla）說：「想發現宇宙的祕密，就要從能量、頻率和振動的角度思考。」,《僧人心態》,,"June 29, 2022 9:59 AM","June 29, 2022 9:59 AM",46,imac-fly,0
不只是自己活著的時間，如果以宇宙誕生這類巨大規模來思考的話，或許有一天會誕生跟自己一樣的人類,《當失戀的我，遇上尼采》,,"April 11, 2022 4:36 PM","April 11, 2022 4:36 PM",46,imac-fly,0
這項事物的內部組織是如何？實體面與物質面是如何？成因是如何？它在宇宙間做些什麼？它還能存在多久？,《沉思錄》,,"September 17, 2022 12:16 AM","September 17, 2022 12:16 AM",48,imac-fly,0
眼前的萬事萬物說變就變，轉瞬即逝，別忘了，你這一生目睹過的變化實在太多。宇宙即變化，人生即念頭。,《沉思錄》,,"September 16, 2022 7:24 PM","September 16, 2022 7:24 PM",48,imac-fly,0
不過大自然最引人矚目的其中一件事，是整個宇宙的特徵，乃是取決於某一種原子核內某一能階的明確位置！,《物理之美》,,"April 29, 2022 3:39 PM","April 29, 2022 3:39 PM",48,imac-fly,0
"我們活在一個「無底」的宇宙中，永遠不會到達我們對存在所提「為什麼」問題鏈的末端，總會有謎待解。","《我們為何存在，又該如何定義自己？》",,"January 26, 2023 9:40 PM","January 26, 2023 9:40 PM",49,imac-fly,0
當你的天賦和熱情（varna）與宇宙的需要（seva）連接起來，並成為你的目的時，你就是活在法裡了,《僧人心態》,,"December 24, 2022 9:49 AM","December 24, 2022 9:49 AM",49,imac-fly,0
"追求自由與個體性的男性能量及追求揚升與合一的女性能量這兩極，使得宇宙的創造成為可能，兩者缺一不可。","《內在女性覺醒》",,"February 22, 2023 10:02 PM","February 22, 2023 10:02 PM",51,imac-fly,0
女亞斯的特殊興趣會偏向活體（動物、明星）與抽象（文學、歷史）的項目，男亞斯會偏向具體的機械、宇宙、火車,《女生不愛社交又如何？我不難搞，我只是有點亞斯特質》,,"November 24, 2022 1:58 PM","November 24, 2022 1:58 PM",51,imac-fly,0
不論宇宙多麼天馬行空，你都可以成為自己。你唯一的侷限是自己的想像力。你可以發揮各種創意，彌補各種後悔。,《午夜圖書館》,,"October 5, 2022 6:56 PM","October 5, 2022 6:56 PM",51,imac-fly,0
"倘若我們動用了量子理論，這就意味著大爆炸會一次又一次地發生，新的宇宙有可能在我們的宇宙之外不斷誕生。","《神的方程式》",,"March 31, 2023 11:07 AM","March 31, 2023 11:07 AM",52,imac-fly,0
