Name,Description,Note,Created,Last edited time,length,Created by,Days
閱讀是人生財富的複利效應。,《只工作、不上班的自主人生》,,"December 8, 2022 3:20 PM","May 4, 2023 2:53 PM",13,imac-fly,146
人主要的功用，就是富有理性。,"《善用悲觀的力量：培養逆境抵抗力，放大簡單的快樂，打破不滿足的慣性》",,"January 26, 2023 9:49 PM","April 29, 2023 4:38 AM",14,imac-fly,92
小說能讓你成為情感更豐富的人。,"《不被洗腦的思維練習》",,"February 13, 2023 11:13 PM","May 4, 2023 2:54 PM",15,imac-fly,79
人生最大的財富，是自主和自由。,"《只工作、不上班的自主人生》",,"February 8, 2023 10:51 AM","May 2, 2023 7:07 PM",15,imac-fly,83
情感方面的富足似乎遠遠更為重要。,"《哈佛教你幸福一輩子》",,"January 30, 2023 7:21 PM","May 4, 2023 2:54 PM",16,imac-fly,93
故事有包容性，於是能豐富個人生命。,《故事．知識．權力【全新修訂版】》,,"December 23, 2022 1:43 PM","May 2, 2023 1:36 PM",17,imac-fly,129
常有錢的人說，他不在乎自己的絕對財富。,"《蘋果橘子創意百科》",,"January 31, 2023 1:37 PM","April 28, 2023 1:21 PM",19,imac-fly,86
另一邊則認為語言將引向最豐富的人性發現。,"《睡眠、夢和死亡過程》",,"March 12, 2023 9:28 AM","April 26, 2023 12:33 PM",20,imac-fly,45
"擅長換句話說的人，詞彙量往往也很豐富。","《不被洗腦的思維練習》",,"February 13, 2023 11:07 PM","February 13, 2023 11:07 PM",21,imac-fly,0
"本金（1＋收益率）時間－欲望＝財富自由","《底層邏輯》",,"February 7, 2023 10:19 AM","February 7, 2023 10:19 AM",21,imac-fly,0
"相對收入則是新富族衡量財富的真正量尺。","《一週工作4小時【全新增訂版】》",,"January 29, 2023 8:36 AM","January 29, 2023 8:36 AM",21,imac-fly,0
因為一個人能放得下的東西愈多，他就愈富有。,《湖濱散記》,,"October 8, 2022 11:02 AM","October 8, 2022 11:02 AM",21,imac-fly,0
財富＝勞動×生產率×效用。這就是財富的本質。,"《底層邏輯》",,"January 12, 2023 4:18 PM","May 4, 2023 2:55 PM",22,imac-fly,111
找到讓日常生活和旅行一樣豐富且有意義的方式。,《遊牧世界的市民城市》,,"July 10, 2022 10:37 AM","July 10, 2022 10:37 AM",22,imac-fly,0
富人極度擅長把時間當成工具，替自己創造財富。,《人生4千個禮拜》,,"June 30, 2022 8:18 AM","May 4, 2023 2:54 PM",22,imac-fly,308
教育應該使年輕人成為活躍積極、富同情心的公民。,"《重新想像教育的未來》",,"April 23, 2023 11:01 PM","April 26, 2023 10:47 AM",23,imac-fly,2
希望在初次的會談中，以一種值得信賴和富有惻隱之。,"《兩種心靈》",,"March 30, 2023 10:51 AM","May 4, 2023 2:54 PM",24,imac-fly,35
富有觀點的說話不代表情緒化，卻會讓人類打開聽覺。,《喜劇媽媽桑幽默表達學》,,"September 28, 2022 8:30 AM","September 28, 2022 8:30 AM",24,imac-fly,0
美國是地球上最富裕的國家，但它的人民大多很貧窮。,《游牧人生【電影書衣版】》,,"June 11, 2022 11:14 AM","June 11, 2022 11:14 AM",24,imac-fly,0
