Name,Description,Note,Created,Last edited time,length,Created by,Days
尊重不是恐懼和敬畏。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 4, 2022 10:28 AM","February 20, 2023 6:14 PM",10,imac-fly,261
尊重只能以自由作為基礎。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:12 PM","May 2, 2023 8:24 AM",12,imac-fly,361
尊重運氣與風險的強大力量。,《致富心態》,,"May 9, 2022 12:02 PM","May 2, 2023 8:24 AM",13,imac-fly,357
用你給別人的愛和尊重來對待自己。,《僧人心態》,,"July 12, 2022 6:15 PM","May 2, 2023 8:24 AM",16,imac-fly,293
用你給別人的愛和尊重來對待自己。,《僧人心態》,,"May 8, 2022 11:53 AM","May 8, 2022 11:53 AM",16,imac-fly,0
一位值得尊重的哲學家必須言行一致。,《荒謬之外：卡繆思想研究》,,"October 26, 2022 5:20 PM","May 2, 2023 8:24 AM",17,imac-fly,187
照顧、責任、尊重和了解是互相倚賴的。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 9, 2022 12:42 PM","June 9, 2022 12:42 PM",18,imac-fly,0
真正開放、促進競爭、隱私與尊重人權的網路。,"《唐鳳的破框思考力》",,"February 13, 2023 8:35 PM","April 27, 2023 3:21 PM",21,imac-fly,72
有了自信，才能有尊嚴。被尊重比被瞭解還重要。,《激流與倒影》,,"December 3, 2022 3:58 PM","December 3, 2022 3:58 PM",22,imac-fly,0
不可能在沒有真正了解一個人的情況下尊重對方。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 4, 2022 10:30 AM","May 2, 2023 8:24 AM",22,imac-fly,331
愛包含四個基本元素：照顧、責任、尊重與了解。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:08 PM","May 5, 2022 1:08 PM",22,imac-fly,0
現代舞是尊重個性和表達思想感情的一種創作舞蹈。,《假如我是一隻海燕》,,"May 26, 2022 8:36 PM","May 26, 2022 8:36 PM",23,imac-fly,0
只有當我已經達到了獨立的境界，我才可能尊重別人,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:12 PM","May 5, 2022 1:12 PM",23,imac-fly,0
尊重表示我願意讓另一個人按照自己的本性去生長。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:12 PM","May 2, 2023 8:24 AM",23,imac-fly,361
你有權利要其他人聽聽你的感受、尊重你的感受，並予以回應。,"《道德浪女》",,"January 27, 2023 3:43 PM","February 19, 2023 7:37 PM",28,imac-fly,23
馬斯克最看重的就是決心，他尊重被拒絕之後仍然不放棄的人。,《鋼鐵人馬斯克（全新增訂版）》,,"September 16, 2022 2:06 PM","May 2, 2023 8:25 AM",28,imac-fly,227
心存感激，你就會欣賞人與人之間的差異，懂得尊重每一個人。,《最後一次相遇，我們只談喜悅》,,"June 25, 2022 12:36 PM","June 25, 2022 12:36 PM",28,imac-fly,0
學校應該使學生了解自己的文化，以及尊重各式各樣的其他文化。,"《重新想像教育的未來》",,"April 23, 2023 11:00 PM","April 28, 2023 11:54 AM",29,imac-fly,4
"不同的文化須予以尊重，但不能讓文化凌駕於基本人權之上。","《多元文化主義：牛津非常短講006》",,"March 30, 2023 10:13 AM","March 30, 2023 10:13 AM",29,imac-fly,0
一個國家要有強大的軍隊，政府就必須尊重每天為國犧牲的人們。,"《澤倫斯基－我們如此相信InThese,WeBelieve》",,"November 21, 2022 10:48 PM","November 21, 2022 10:48 PM",29,imac-fly,0
傲慢的我執渴望別人的尊敬，謙卑的工人會激發別人對他的尊重。,《僧人心態》,,"July 1, 2022 1:44 PM","July 1, 2022 1:44 PM",29,imac-fly,0
真誠的愛是創造性的一種表達，隱含著照顧、尊重、責任和了解。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 20, 2022 9:44 PM","June 20, 2022 9:44 PM",29,imac-fly,0
對成就或自我價值的個人感覺，也包括他人對自己的認可與尊重。,《大人的11堂寫作課》,,"May 4, 2022 3:55 PM","May 4, 2022 3:55 PM",29,imac-fly,0
同情與尊重是兩種相反的感情，在同情中蘊含著對他人的不尊重。,《尼采在世紀的轉折點上》,,"April 11, 2022 1:02 PM","April 11, 2022 1:02 PM",29,imac-fly,0
願意為自己挺身而出，公開做自己，在所有人與人的際遇中尊重自己。,"《關於愛的一切》",,"April 14, 2023 9:08 PM","May 2, 2023 8:25 AM",31,imac-fly,17
"不要說這個故事讓你想到那部文學作品或電影，應尊重作品本身。","《娥蘇拉．勒瑰恩的小說工作坊》",,"February 25, 2023 10:48 PM","February 25, 2023 10:48 PM",31,imac-fly,0
"有時候主動展現出謙卑、尊重、順從的態度，反而能夠掌控局勢。","《欲望分子多巴胺》",,"February 21, 2023 10:18 AM","February 21, 2023 10:18 AM",31,imac-fly,0
人不應該附和所有人的觀點，只需要尊重順應自然而活的人說了什麼。,《沉思錄》,,"September 16, 2022 6:52 PM","September 16, 2022 6:52 PM",31,imac-fly,0
如果缺乏愛的第三個元素尊重，責任感很容易變質為支配慾和占有慾。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"April 28, 2022 10:39 PM","April 28, 2022 10:39 PM",31,imac-fly,0
每個人都有自己的時間結構，看不見彼此時，更要尊重彼此的時間結構。,《唐鳳的破框思考力》,,"December 4, 2022 8:46 AM","May 2, 2023 8:25 AM",32,imac-fly,148
首先該做的是，正確指出對方論述的問題點，這樣才是尊重對方的做法。,《學習不會背叛你》,,"June 2, 2022 4:09 PM","June 2, 2022 4:09 PM",32,imac-fly,0
當一個人徹底地了解「愛自己」的同時，自然而然地也會明白如何尊重他人。,"《愛自己，只是一個開始》",,"January 3, 2023 10:27 AM","April 27, 2023 3:43 PM",34,imac-fly,114
越喜歡自己，越感謝和尊重自己的身體，生命能量就會提升、人格會更加鮮明。,《內心對話的力量》,,"July 1, 2022 3:01 PM","July 1, 2022 3:01 PM",35,imac-fly,0
兄弟愛是指對任何其他人都有一份責任感、照顧、尊重和了解，渴望促進他們的生活。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"October 29, 2022 1:48 PM","October 29, 2022 1:48 PM",38,imac-fly,0
當我知道你無法和自己關心的人在一起時，覺得很難過，不過你要尊重並接受他的意願。,《最後14堂星期二的課（20週年紀念版）》,,"November 3, 2022 10:19 AM","November 3, 2022 10:19 AM",39,imac-fly,0
他關心的只是他能從其中得到什麼。他不在乎別人的需要，不尊重別人的尊嚴和完整性。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 17, 2022 5:08 PM","June 17, 2022 5:08 PM",39,imac-fly,0
所以優秀的教育者是一個懂得尊重自然的人，不能固執己見，自己原先的設想必須隨時修定。,《阿姨我不想努力了！？》,,"October 5, 2022 1:10 PM","April 26, 2023 10:49 AM",41,imac-fly,202
如果缺乏愛的第三個元素尊重，責任感很容易變質為支配慾和占有慾。尊重不是恐懼和敬畏。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 28, 2022 11:42 PM","June 28, 2022 11:42 PM",41,imac-fly,0
兩個人要能自在的相處，就只有透過不斷的磨合和溝通，尊重每個人的獨特、欣賞彼此的不同。,《大人的性愛相談》,,"October 8, 2022 1:50 PM","October 8, 2022 1:50 PM",42,imac-fly,0
你不妨努力取悅那些你最希望在你身邊的人、那些你尊重的人，以及能激勵你做更好自己的人。,《零盲點思維》,,"June 2, 2022 4:48 PM","June 2, 2022 4:48 PM",42,imac-fly,0
"信用，是人際相處最基本的禮貌，要讓孩子從小就養成，尊重自己的諾言，守信，並且自重。","《優雅教養》",,"February 17, 2023 2:54 PM","February 17, 2023 2:54 PM",43,imac-fly,0
如果說我們把尊重他人的幸福視為人類的最高美德，那有德的生活就更應該是美好生活的核心元素。,《過得還不錯的人生》,,"September 21, 2022 2:44 PM","September 21, 2022 2:44 PM",44,imac-fly,0
憤怒之下隱藏著恐懼，我們害怕得不到需要的東西，怕沒有人愛，怕不受尊重，怕被排除在群體之外,《最後一次相遇，我們只談喜悅》,,"June 5, 2022 11:51 AM","June 5, 2022 11:51 AM",44,imac-fly,0
