Name,Description,Note,Created,Last edited time,length,Created by,Days
民主從自由中求平等。,《自由與平等之間》,,"November 5, 2022 10:17 PM","May 2, 2023 7:31 PM",10,imac-fly,177
人脈的本質，是平等交換。,《底層邏輯》,,"December 25, 2022 9:44 AM","May 2, 2023 7:31 PM",12,imac-fly,128
也許死亡讓所有人變得平等。,《最後14堂星期二的課（20週年紀念版）》,,"November 19, 2022 1:54 PM","May 2, 2023 7:31 PM",13,imac-fly,164
真愛「必須是平等互饋的關係」。,《成為西蒙波娃》,,"May 9, 2022 10:05 PM","April 26, 2023 7:08 PM",15,imac-fly,351
"生存的關鍵，就在於「平等」。","《人類世的「資本論」》",,"April 19, 2023 10:21 PM","April 19, 2023 10:21 PM",16,imac-fly,0
在立足點要平等，於出頭處求自由。,《自由與平等之間》,,"November 5, 2022 10:19 PM","May 2, 2023 7:07 PM",16,imac-fly,177
社會主義則從束縛與奴役中求平等。,《自由與平等之間》,,"November 5, 2022 10:17 PM","May 2, 2023 7:31 PM",16,imac-fly,177
社會主義相信有可能建立以團結合作為價值的平等。,"《社會主義：牛津非常短講 002》",,"March 29, 2023 8:06 PM","May 2, 2023 7:31 PM",23,imac-fly,33
社會主義最根本的特點是要建立一個平等主義的社會。,"《社會主義：牛津非常短講 002》",,"March 29, 2023 8:05 PM","May 2, 2023 7:31 PM",24,imac-fly,33
不平等的本質不是經濟或技術，而是意識形態和政治。,"《資本與意識形態（上下冊不分售）》",,"January 2, 2023 2:07 PM","May 2, 2023 7:31 PM",24,imac-fly,120
激起有益的憤怒與政治運動，進一步推升激進平等的思想。,"《槍炮、船艦與筆墨》",,"April 19, 2023 10:12 PM","May 2, 2023 3:12 PM",26,imac-fly,12
沒有平等，優生學只會墮落為另一個強者控制弱者的機制。,"《基因》",,"February 16, 2023 9:21 AM","February 18, 2023 1:32 PM",26,imac-fly,2
大家平等，大家的希望一致，誰有別的情感，便是甘心進瘋人院。,《查拉圖斯特拉如是說》,,"April 11, 2022 5:49 PM","May 2, 2023 7:35 PM",29,imac-fly,386
人類歷史中，只有戰爭、革命以及大型災難曾經減少社會不平等惡化,《長壽新人生》,,"June 2, 2022 5:18 PM","June 2, 2022 5:18 PM",30,imac-fly,0
真愛的第四種要素是「捨」，意即平等心、不執著、不分別、冷靜或放下,《佛陀之心》,,"November 24, 2022 4:10 PM","November 24, 2022 4:10 PM",32,imac-fly,0
"自己的婚姻是由於彼此的平等關係和各自的獨立性，而得以維持堅穩。","《愛這個世界：漢娜鄂蘭傳》",,"February 1, 2023 10:27 PM","February 1, 2023 10:27 PM",33,imac-fly,0
社會是層級性：兄弟間原來的平等不見了，取而代之的是競爭和相互傾軋。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"July 6, 2022 8:52 AM","July 6, 2022 8:52 AM",33,imac-fly,0
"毫無疑問的，我們在其後的幾千年中觀察到的不平等大都是農業造成的。","《平等的暴政》",,"March 13, 2023 2:11 PM","March 13, 2023 2:11 PM",34,imac-fly,0
公平的概念似乎深植在人的基因當中，因此任何形式的不平等都令我們不安。,《最後一次相遇，我們只談喜悅》,,"June 21, 2022 3:33 PM","June 21, 2022 3:33 PM",34,imac-fly,0
"春天會平等造訪，但在什麼地方、懷著怎樣的心情迎接春天，則因人而異。","《星期五的書店》",,"March 13, 2023 3:40 PM","March 13, 2023 3:40 PM",35,imac-fly,0
民主乃是這樣一種社會理想：其中每一個人都有平等的機會發展他的優美的本性。,《自由與平等之間》,,"November 5, 2022 10:20 PM","November 5, 2022 10:20 PM",36,imac-fly,0
無忌眾生、友好和慈悲之人，擺脫了佔有欲和自我中心，對苦樂具平等心，有耐心。,《瑜伽與愛的真相》,,"April 15, 2022 2:24 PM","April 15, 2022 2:24 PM",37,imac-fly,0
"新道德所主张的新道德理念有：性别平等的对称性、互爱的对称性和预防艾滋病。","《性欲和性行为：一种批判理论的99条断想（全2册）【舞蹈家金星、社会学家李银河推荐！继弗洛伊德、福柯之后的性学理论大师福尔克马·西古希的力作】（索恩系列）》",,"February 9, 2023 5:08 PM","February 9, 2023 5:08 PM",38,imac-fly,0
更廣泛而言，一個社會的平均生活水準越高，物質上可能達到的最大不平等就會隨之增加。,"《資本與意識形態（上下冊不分售）》
",,"January 2, 2023 2:08 PM","May 2, 2023 7:35 PM",40,imac-fly,120
權利則有賴於該國家的性質而定。祇有當所有權利是絕對平等的時候，才能有絕對的平等。,《自由與平等之間》,,"November 5, 2022 10:20 PM","May 2, 2023 7:35 PM",40,imac-fly,177
不平等的本質不是經濟或技術，而是意識形態和政治，這無疑是本書歷史研究最顯著的結論。,"《資本與意識形態（上下冊不分售）》",,"January 16, 2023 12:36 PM","May 2, 2023 7:35 PM",41,imac-fly,106
如果人們說他們要自由與平等，那麼他們對自由的要求便在他們對平等的要求上加了一種限制。,《自由與平等之間》,,"November 5, 2022 10:18 PM","May 2, 2023 7:35 PM",42,imac-fly,177
