Name,Description,Note,Created,Last edited time,length,Created by,Days
"慈悲並不施捨，它提出要求。","《論哲學家》",,"April 5, 2023 1:01 AM","April 5, 2023 1:01 AM",15,imac-fly,0
對自己和別人不慈悲，就是暴力！,《我想跟你好好說話》,,"December 26, 2022 11:35 PM","December 26, 2022 11:35 PM",15,imac-fly,0
慈悲心與愛會直接影響我們的身心健康。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 14, 2022 9:26 AM","November 14, 2022 9:26 AM",18,imac-fly,0
說適時、真實、慈愛、饒益、善意的話語。,《僧人心態》,,"May 20, 2022 12:39 PM","May 2, 2023 8:03 PM",19,imac-fly,347
集中的注意力、開放的覺察與慈悲心的素養。,"《覺察：通往身心靈整合的科學冥想練習》",,"March 17, 2023 4:55 PM","April 27, 2023 3:21 PM",20,imac-fly,40
為自己正在受苦的那部分，給予慈悲與慰藉。,"《請用正念疼惜自己》",,"February 2, 2023 9:57 AM","April 28, 2023 1:32 PM",20,imac-fly,85
真正的智慧就是慈悲，而真正的慈悲即是智慧。,"《靜坐的科學、醫學與心靈之旅》",,"March 6, 2023 4:08 PM","May 4, 2023 10:51 AM",21,imac-fly,58
我相信愛、仁慈、溫柔和聰明是會傳染給他人的。,《三個朋友的人生智慧大哉問》,,"September 14, 2022 5:16 PM","September 14, 2022 5:16 PM",22,imac-fly,0
"善良、共情和慈悲，是整合心智的三大基本要素。","《覺察：通往身心靈整合的科學冥想練習》",,"May 2, 2023 10:54 PM","May 2, 2023 10:54 PM",24,imac-fly,0
三種冥想的核心練習要素（專注、仁慈、開放的覺察）。,"《覺察：通往身心靈整合的科學冥想練習》",,"March 15, 2023 6:34 PM","April 27, 2023 3:30 PM",25,imac-fly,42
"晨醒即微笑，良辰在眼前。過好每一刻，慈眼視眾生。","《佛陀之心》",,"March 28, 2023 9:34 AM","March 28, 2023 9:34 AM",26,imac-fly,0
產生羈絆，並努力尋回人的本質，也就是慈悲、同理之心。,《最後一次相遇，我們只談喜悅》,,"June 26, 2022 11:07 PM","June 26, 2022 11:07 PM",26,imac-fly,0
"我有不仁慈與憤怒的種子與習氣，會令對方感到不快樂。","《諦聽與愛語》",,"March 27, 2023 11:08 AM","March 27, 2023 11:08 AM",27,imac-fly,0
崇拜（elevation，目睹善良、慷慨或慈悲的行為）,《最後一次相遇，我們只談喜悅》,,"June 16, 2022 5:29 PM","June 16, 2022 5:29 PM",27,imac-fly,0
真愛的第一個層面是「慈」，即給人快樂、喜悅的願望與能力。,《佛陀之心》,,"November 24, 2022 4:09 PM","April 28, 2023 12:47 PM",28,imac-fly,154
個人的正直和慈悲，我不以為是主要的價值，它們不過是枝葉。,《湖濱散記》,,"October 8, 2022 11:41 AM","October 8, 2022 11:41 AM",28,imac-fly,0
"有時你會充滿慈悲憐憫之心，有時你又覺得這一切荒謬而無謂。","《當呼吸化為空氣（揪心感動暢銷版）》",,"March 25, 2023 11:31 AM","March 25, 2023 11:31 AM",30,imac-fly,0
慈愛與覺醒、開悟同在。理解是愛的重要基礎，是愛的另一個用語。,《禪與拯救地球的藝術》,,"November 24, 2022 5:34 PM","November 24, 2022 5:34 PM",30,imac-fly,0
"我不想待在一個沒有任何痛苦的世界，因為這樣也不會有慈悲或理解。","《當摯愛逝去：療癒悲痛與失去的禪修練習》",,"March 28, 2023 9:40 PM","March 28, 2023 9:40 PM",33,imac-fly,0
"第二個護衛禪是「慈心禪」──修習慈心，祝願他人獲得幸福與成功。","《念住內觀》",,"March 9, 2023 7:56 PM","March 9, 2023 7:56 PM",33,imac-fly,0
