Name,Description,Note,Created,Last edited time,length,Created by,Days
文化就是對一切的持續開放態度。,《美感的意識形態》,,"April 12, 2022 8:36 PM","April 27, 2023 3:21 PM",15,imac-fly,379
共同體的社會、文化能量，將會日益增。,"《人類世的「資本論」》",,"April 19, 2023 10:20 PM","April 29, 2023 4:07 AM",18,imac-fly,9
多元文化主義從來都不鼓勵分開和隔離。,《多元文化主義：牛津非常短講006》,,"October 26, 2022 1:26 PM","April 29, 2023 4:07 AM",18,imac-fly,184
生活型態規劃已經跨越文化，成為世界潮流。,"《一週工作4小時【全新增訂版】》",,"January 29, 2023 8:23 AM","April 29, 2023 4:07 AM",20,imac-fly,89
學校是中產階級強加給勞工階級文化的東西。,《即興》,,"September 28, 2022 8:02 PM","September 28, 2022 8:02 PM",20,imac-fly,0
"書籍文化是印刷的先驅，而非印刷的產物。","《【牛津通識課06】閱讀》",,"March 28, 2023 10:31 PM","March 28, 2023 10:31 PM",21,imac-fly,0
成功的粉絲文化＝關鍵多數＋情緒反應+平台。,《狂粉是怎樣煉成的》,,"June 7, 2022 11:20 PM","April 29, 2023 4:07 AM",21,imac-fly,325
誰來說文化的故事，誰就真的支配了人類行為。,《人慈》,,"May 22, 2022 9:28 AM","May 22, 2022 9:28 AM",21,imac-fly,0
「限制」果真是美感的來源，是文化的出發點。,《芭樂人類學》,,"May 7, 2022 6:41 PM","April 29, 2023 4:07 AM",21,imac-fly,356
人，至少自由人，本質是文化的存在，精神的表述。,"《殺佛【試讀】》",,"March 27, 2023 10:36 AM","April 29, 2023 4:07 AM",23,imac-fly,32
次文化是一群擁有共同價值體系或共同生活經歷的人。,"《【牛津通識課07】行銷》",,"March 28, 2023 6:50 PM","April 29, 2023 4:07 AM",24,imac-fly,31
可以同時被兩種文化（或創作，或美學呈現）所吸引。,"《餐桌上的人間田野》",,"January 2, 2023 12:14 PM","April 29, 2023 4:07 AM",24,imac-fly,116
文化價值系統往往埋藏在文學、法律與原型的極深處。,《道德浪女》,,"June 14, 2022 4:38 PM","February 19, 2023 7:36 PM",24,imac-fly,250
"當人類開始定居一地，玩耍文化也經歷了激烈改變。","《人慈》",,"February 4, 2023 10:25 PM","February 4, 2023 10:25 PM",25,imac-fly,0
"這跟一群沉默的次文化人士有關，他們叫「新富族」。","《一週工作4小時【全新增訂版】》",,"January 29, 2023 8:36 AM","January 29, 2023 8:36 AM",26,imac-fly,0
對表演及表演者評頭論足，這是個可悲而摧殘文化的習慣。,《如何給自己一份無價的禮物》,,"July 13, 2022 3:37 PM","July 13, 2022 3:37 PM",26,imac-fly,0
將公司覺得重要的工作文化，靠這套軟體或是硬體自動實現。,《唐鳳的破框思考力》,,"November 14, 2022 1:51 PM","April 29, 2023 4:07 AM",27,imac-fly,165
精神分析家的工作包括把性格理解為一種對文化力量的回應。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 28, 2022 11:38 PM","April 29, 2023 4:25 AM",27,imac-fly,304
我們的整個文化都是奠基於購買慾，奠基於互利交換的觀念。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 14, 2022 7:51 AM","June 14, 2022 7:51 AM",27,imac-fly,0
文化的一個目的是「適應」，是在解決人們遇到的各種問題。,《百工裡的人類學家2厚數據的創新課》,,"May 10, 2022 5:41 PM","February 7, 2023 6:52 PM",27,imac-fly,273
學校應該使學生了解自己的文化，以及尊重各式各樣的其他文化。,"《重新想像教育的未來》",,"April 23, 2023 11:00 PM","April 28, 2023 11:54 AM",29,imac-fly,4
