Name,Description,Note,Created,Last edited time,length,Created by,Days
「工作狂」是一種心理疾病。,《墨菲定律》,,"July 16, 2022 11:43 AM","April 27, 2023 3:06 PM",13,imac-fly,285
我走在我通往狂喜的道路上。,《道德浪女》,,"June 13, 2022 11:58 AM","June 13, 2022 11:58 AM",13,imac-fly,0
嗜新狂（neomania)。,《反脆弱》,,"September 15, 2022 7:46 AM","April 27, 2023 3:06 PM",14,imac-fly,224
施虐狂的動機是想知道人的祕密。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 5, 2022 1:10 PM","April 27, 2023 3:06 PM",15,imac-fly,357
我能計算天體運行，但不能計算人的瘋狂。,《賽局意識》,,"July 8, 2022 7:58 AM","April 27, 2023 3:06 PM",19,imac-fly,293
他給予並不是為了領受，給予本身便是狂喜。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 21, 2022 6:09 AM","May 21, 2022 6:09 AM",20,imac-fly,0
如果你雙腿間的狗狂吠不止誰聽得見佛陀歌唱？,《禮物》,,"April 11, 2022 9:07 PM","April 11, 2022 9:07 PM",21,imac-fly,0
我教你們什麼是超人，他便是這閃電，這瘋狂！,《查拉圖斯特拉如是說》,,"April 11, 2022 5:54 PM","April 27, 2023 3:06 PM",21,imac-fly,380
"孤獨使他瘋狂，他終於在瘋狂中擺脫了孤獨。","《尼采讀本：最完整選錄尼采代表篇章的精選集，尼采哲學的首選入門書》",,"March 17, 2023 6:06 PM","March 17, 2023 6:06 PM",22,imac-fly,0
年少輕狂是他僅有的缺點，其餘他都能深明事理。,《大文豪的童話》,,"October 26, 2022 3:25 PM","October 26, 2022 3:25 PM",22,imac-fly,0
欲望包括對食物、酒精、性愛和狂歡的渴望和執念。,"《為什麼我們不想生》",,"January 16, 2023 2:12 PM","January 31, 2023 5:57 PM",23,imac-fly,15
問自己這個問題：如果不算太瘋狂，我會嘗試什麼？,《創作，是心靈療癒的旅程》,,"September 27, 2022 8:43 AM","September 27, 2022 8:43 AM",23,imac-fly,0
原住民之間盛行的集體狂歡，在歐洲也能找到相比擬的。,"《嘉年華的誕生》",,"March 30, 2023 12:17 PM","April 27, 2023 3:07 PM",25,imac-fly,28
瘋子都很容易看出別人的瘋狂，唯獨對自己的視而不見。,"《背對世界》
",,"January 2, 2023 6:46 PM","April 27, 2023 3:07 PM",25,imac-fly,114
"如果我們擁有集體狂喜的能力，為什麼現在不用了呢？","《嘉年華的誕生》",,"April 2, 2023 12:55 AM","April 2, 2023 12:55 AM",26,imac-fly,0
跳舞的儀式是他們生活的中心，能滿足他們對狂熱的渴望。,"《嘉年華的誕生》",,"March 30, 2023 11:46 AM","April 27, 2023 3:07 PM",26,imac-fly,28
"現在真正狂野，唯一還見不了人的東西，只剩腋毛了。","《當代藝術大白話》",,"January 22, 2023 7:33 AM","January 22, 2023 7:33 AM",26,imac-fly,0
其中最瘋狂的莫過於不理會異常，只把眼前所見視為現實。,《大腦革命的12步》,,"May 12, 2022 6:59 PM","May 12, 2022 6:59 PM",26,imac-fly,0
有趣的是，正是這些「瘋狂」的活動，治癒了「瘋狂」的人。,"《嘉年華的誕生》",,"March 30, 2023 12:17 PM","April 27, 2023 3:07 PM",27,imac-fly,28
舞蹈家必須兼具運動家的體能技術，以及詩人的敏感與瘋狂。,《高處眼亮：林懷民舞蹈歲月告白》,,"May 26, 2022 8:36 PM","April 27, 2023 3:07 PM",27,imac-fly,335
一位狂徒就能點起大火，但澆熄火焰卻需要眾位智者的努力。,《異常流行幻象與群眾瘋狂（二版）》,,"April 14, 2022 1:50 PM","April 14, 2022 1:50 PM",27,imac-fly,0
公眾的語言變得意識形態化，尼采稱為「普遍概念的癲狂」。,《尼采：其人及其思想》,,"April 11, 2022 11:17 AM","April 27, 2023 3:07 PM",27,imac-fly,381
不要把自己吹得太大：小針一刺就會使你爆炸。（〈反對狂妄〉）,《尼采詩集星星的碎片》,,"April 11, 2022 3:10 PM","April 11, 2022 3:10 PM",29,imac-fly,0
"群眾的狂歡是「別人」的事，就是野蠻人和歐洲低下階層的事。","《嘉年華的誕生》",,"March 30, 2023 12:18 PM","March 30, 2023 12:18 PM",30,imac-fly,0
我創造的這個上帝，如其他神們一樣，是人類的作品與人造的瘋狂。,《查拉圖斯特拉如是說》,,"December 11, 2022 2:43 PM","April 27, 2023 3:07 PM",30,imac-fly,137
正像在幻想中找到知心的朋友一樣，他在瘋狂中找到了寧靜的幸福。,《尼采詩集星星的碎片》,,"April 11, 2022 3:20 PM","April 11, 2022 3:20 PM",30,imac-fly,0
這個世界似乎正在加速衝向災難，我們的文明生活已經進入瘋狂階段。,《人生4千個禮拜》,,"July 14, 2022 10:41 AM","April 27, 2023 3:07 PM",31,imac-fly,287
以智力來評價人太瘋狂了，正如農民看向夜空所感覺到的可能比我還多。,《即興》,,"October 13, 2022 5:27 PM","April 27, 2023 3:07 PM",32,imac-fly,195
"古羅馬詩人賀拉斯（Horace）寫道：「憤怒是短暫的瘋狂。」 ","《高效焦慮法》",,"April 14, 2023 8:45 PM","April 14, 2023 8:45 PM",33,imac-fly,0
內容與其說是詳細闡述，不如說是愛現──或者，表現狂，我暴躁地想著。,"《暗房裡的男人》",,"January 23, 2023 10:57 PM","April 27, 2023 3:10 PM",33,imac-fly,93
試著尋找合乎自己心情的音樂，生氣的、悲傷的、狂亂的，將情感舞出來。,《道德浪女》,,"June 15, 2022 3:06 PM","June 15, 2022 3:06 PM",33,imac-fly,0
"一個不守成規、不因循傳統智慧的人，他也是一個狂野的搖滾樂團成員。","《2100科技大未來（2019年全新封面版）》",,"March 31, 2023 1:49 PM","March 31, 2023 1:49 PM",34,imac-fly,0
再讓他們為愛煩惱一陣子吧。畢竟下回為愛瘋狂會是何時，還真是不曉得哩。,"《向田理髮店》",,"March 13, 2023 3:47 PM","April 27, 2023 3:10 PM",34,imac-fly,44
"有時候，我感覺自己痛苦得要發狂。不過，還感覺得到痛苦就代表我沒瘋。","《嫉妒所未知的空白》",,"March 13, 2023 11:03 PM","March 13, 2023 11:03 PM",35,imac-fly,0
"爱情总是借助陶醉、成瘾和疯狂的手段，试图带动那个死板的人翩翩起舞。","《性欲和性行为：一种批判理论的99条断想（全2册）【舞蹈家金星、社会学家李银河推荐！继弗洛伊德、福柯之后的性学理论大师福尔克马·西古希的力作】（索恩系列）》",,"February 9, 2023 3:41 PM","February 9, 2023 3:41 PM",35,imac-fly,0
〈河童〉是寓言，〈齒輪〉是放縱的瘋狂書寫，另外有散文詩般的〈呆瓜的一生〉,《小說裡的人性羅生門：楊照談芥川龍之介（日本文學名家十講3）》,,"October 12, 2022 9:52 AM","October 12, 2022 9:52 AM",36,imac-fly,0
讓自己像座海角一樣，即使被浪花不斷拍打，依舊能屹立不搖，馴服四周的狂潮。,《沉思錄》,,"September 16, 2022 8:15 PM","September 16, 2022 8:15 PM",36,imac-fly,0
這並非無情，只是實際。毒害你的人不值得浪費你的時間，你不這麼做才叫被虐狂。,《一週工作4小時【全新增訂版】》,,"December 18, 2022 9:21 PM","December 18, 2022 9:21 PM",37,imac-fly,0
藉由不停地快寫，你壓抑了大腦裡的那個編輯狂，讓負責創意的部分不斷產出東西來。,《自由書寫術》,,"November 6, 2022 7:25 PM","November 6, 2022 7:25 PM",38,imac-fly,0
"在比較「原始」社會中，舞蹈慶典的參與者陷入狂熱，足以證實他們的慶典充滿愉悅。","《嘉年華的誕生》",,"March 30, 2023 11:47 AM","March 30, 2023 11:47 AM",40,imac-fly,0
高等人想要永遠留在他們的位子上，那麼大多數人的心理狀態都必須處在受控制的瘋狂下。,《一九八四》,,"October 15, 2022 6:37 PM","October 15, 2022 6:37 PM",40,imac-fly,0
