Name,Description,Note,Created,Last edited time,length,Created by,Days
玩耍的相反是抑鬱。,《人慈》,,"June 20, 2022 8:26 PM","June 20, 2022 8:26 PM",9,imac-fly,0
打敗遊戲，別照著玩。,"《一週工作4小時【全新增訂版】》",,"January 29, 2023 8:23 AM","April 28, 2023 12:06 PM",10,imac-fly,89
玩耍的本能深植於我們天性中,《人慈》,,"June 20, 2022 8:20 PM","June 20, 2022 8:20 PM",13,imac-fly,0
電玩教育與啟發了成千上萬的人。,《創造文明的人》,,"December 28, 2022 8:13 AM","April 26, 2023 10:47 AM",15,imac-fly,119
"大人們永遠不該跟小孩一起玩。","《論教育》",,"April 5, 2023 1:03 AM","April 5, 2023 1:03 AM",16,imac-fly,0
彼此都有安全感的時候，性才會好玩。,《道德浪女》,,"December 27, 2022 6:06 PM","February 19, 2023 10:50 AM",17,imac-fly,53
每個人都是邊玩遊戲邊展開人生道路的。,《創造文明的人》,,"December 28, 2022 8:34 AM","April 28, 2023 12:06 PM",18,imac-fly,121
我認為重點在於有那個能耐拿自己開玩笑。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 9:13 AM","April 28, 2023 12:06 PM",19,imac-fly,366
"接納失序與把玩失序，界定了活著的意義。","《人類使用說明書》",,"February 8, 2023 4:39 PM","February 8, 2023 4:39 PM",21,imac-fly,0
遊戲是兒童理解世界的管道，玩耍是他們的工作。,"《自然教養》",,"February 17, 2023 2:10 PM","April 28, 2023 12:06 PM",22,imac-fly,69
形式自由的玩耍，也是用來對抗無聊的天然解方。,《人慈》,,"April 28, 2022 4:45 PM","April 28, 2023 12:06 PM",22,imac-fly,364
創造力活在矛盾中，認真的藝術作品來自認真的玩耍。,《創作，是心靈療癒的旅程》,,"November 9, 2022 4:05 PM","November 9, 2022 4:05 PM",24,imac-fly,0
吃喝玩樂、聊天、運動，建立許多讀書以外的交流場合。,"《讓孩子心智堅定又自信的10句話》",,"March 29, 2023 11:51 AM","April 28, 2023 12:06 PM",25,imac-fly,30
"當人類開始定居一地，玩耍文化也經歷了激烈改變。","《人慈》",,"February 4, 2023 10:25 PM","February 4, 2023 10:25 PM",25,imac-fly,0
人不是因為老化而放棄玩樂，而是因為放棄玩樂而老化。,《天生不愛動》,,"November 29, 2022 3:01 PM","February 20, 2023 12:20 PM",25,imac-fly,82
我們的確是在玩──同時一起做某件事就是這麼讓人開心。,《行動改造大腦》,,"April 23, 2022 11:48 AM","April 28, 2023 12:07 PM",26,imac-fly,370
"玩耍不受限於固定的規矩和守則，走向未定且不受限制。","《人慈》",,"February 4, 2023 10:26 PM","February 4, 2023 10:26 PM",27,imac-fly,0
玩家口口聲聲表態討厭這種模式，但資產負債表倒是很誠實。,《創造文明的人》,,"December 28, 2022 8:12 AM","December 28, 2022 8:12 AM",27,imac-fly,0
有錢人玩金錢遊戲是為了贏。窮人玩金錢遊戲是為了不要輸。,《有錢人想的和你不一樣》,,"September 14, 2022 8:06 PM","April 28, 2023 12:07 PM",27,imac-fly,225
要維持動機並感覺成功，學會玩對自己有利的遊戲至關重要。,《原子習慣》,,"July 14, 2022 6:29 PM","July 14, 2022 6:29 PM",27,imac-fly,0
我們為了讓玩家感到更隨機，只好讓勝負實際上變得更不隨機。,《創造文明的人》,,"December 28, 2022 8:11 AM","December 28, 2022 8:11 AM",28,imac-fly,0
非凡的顧客體驗，起點是用心、直覺、好奇、玩樂、膽子和品味。,《創造與漫想》,,"June 23, 2022 7:36 AM","June 23, 2022 7:36 AM",29,imac-fly,0
我們必須憑直覺知道玩家究竟真正要的是什麼，而不是他們說出來的要求。,《創造文明的人》,,"December 28, 2022 8:11 AM","December 28, 2022 8:11 AM",33,imac-fly,0
人類是唯一脫離天然狀態，唯一會為了玩樂、激情或權力而殺害生命的動物。,《追蹤師：松林少年的追尋【TrackerSchool創校40週年紀念版】》,,"July 25, 2022 8:21 AM","July 25, 2022 8:21 AM",34,imac-fly,0
確認你正在玩的遊戲，而且確保自己的行動不會被玩另一種遊戲的玩家影響。,《致富心態》,,"May 9, 2022 12:01 PM","May 9, 2022 12:01 PM",34,imac-fly,0
學習新事物。學習是一輩子的快樂來源，而玩樂和說故事是兩項重要的學習資源,《社會大躍進》,,"May 10, 2022 5:46 PM","May 10, 2022 5:46 PM",35,imac-fly,0
