Name,Description,Note,Created,Last edited time,length,Created by,Days
人主要的功用，就是富有理性。,"《善用悲觀的力量：培養逆境抵抗力，放大簡單的快樂，打破不滿足的慣性》",,"January 26, 2023 9:49 PM","April 29, 2023 4:38 AM",14,imac-fly,92
智識的相反──意即盲目的理性。,《薛西弗斯的神話》,,"June 7, 2022 10:21 AM","April 29, 2023 4:38 AM",15,imac-fly,325
人心自有道理，但理性卻難以理解。,"《為什麼要戀愛》",,"January 9, 2023 10:02 AM","April 29, 2023 4:38 AM",16,imac-fly,109
"除了理性之外，愛智慧還有其他途徑嗎？","《西方哲學之旅（中：近代）》",,"April 27, 2023 5:50 PM","April 27, 2023 5:50 PM",20,imac-fly,0
"對於令自己受挫的事，也僅以理性看待。","《為你的心定錨》",,"February 2, 2023 8:00 AM","February 2, 2023 8:00 AM",20,imac-fly,0
對柏拉圖來說，理性是人類把握宇宙秩序的能力。,"《睡眠、夢和死亡過程》",,"March 12, 2023 9:20 AM","April 29, 2023 4:39 AM",22,imac-fly,47
"哲學是愛好智慧，哲學家是擅長使用理性的人。","《人生雖然有點廢，就靠哲學翻轉它【第一部】：跟著37位哲學家解開生命的大哉問》",,"April 27, 2023 6:45 PM","April 27, 2023 6:45 PM",23,imac-fly,0
如果你想要說服別人，要訴諸利益，而非訴諸理性。,《窮查理的普通常識（增修版）》,,"October 3, 2022 3:21 PM","October 3, 2022 3:21 PM",23,imac-fly,0
煩惱把人壓垮的待辦清單，其實是一種不理性行為。,《人生4千個禮拜》,,"July 16, 2022 10:14 PM","July 16, 2022 10:14 PM",23,imac-fly,0
如果你想要說服別人，要訴諸利益，而非訴諸理性。,《窮查理的普通常識（增修版）》,,"June 21, 2022 4:52 PM","April 29, 2023 4:39 AM",23,imac-fly,311
掌管客觀思考的機能為理性，理性背後的感情是謙卑。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 26, 2022 1:11 PM","April 29, 2023 4:39 AM",24,imac-fly,306
只有理性動物才能主動接受一切，盲從則是生物的本能。,《沉思錄》,,"September 17, 2022 2:01 AM","September 17, 2022 2:01 AM",25,imac-fly,0
我們眼前的這個世界，理性的可以，同時也荒謬的可以。,《卡夫卡《變形記》（又名《蛻變》）》,,"September 16, 2022 9:01 AM","September 16, 2022 9:01 AM",25,imac-fly,0
"理性的表現在於慎思明辨，能對宇宙與人生說出一番道理。","《人生雖然有點廢，就靠哲學翻轉它【第一部】：跟著37位哲學家解開生命的大哉問》",,"April 27, 2023 6:46 PM","April 27, 2023 6:46 PM",28,imac-fly,0
若是內心與外境的對立能消失、忘卻，那就能超越理性的限制。,"《禪學入門》",,"March 29, 2023 11:38 AM","April 29, 2023 4:39 AM",28,imac-fly,30
"大部分人都承認理性的權威，認為它是解決一切問題的鑰匙。","《海德格《存有與時間》闡釋（三版）》",,"March 18, 2023 10:22 PM","March 18, 2023 10:22 PM",29,imac-fly,0
畢達哥拉斯學派認為，除了理性之外，靈魂會完全被物質所吞噬。,"《榮格論心理學與宗教》",,"February 20, 2023 2:59 PM","April 29, 2023 4:39 AM",29,imac-fly,67
