Name,Description,Note,Created,Last edited time,length,Created by,Days
不刻意活在當下。,《人生4千個禮拜》,,"September 26, 2022 9:12 PM","May 2, 2023 12:53 PM",8,imac-fly,217
永恆，是當下構成的。,"《眺望時間的盡頭》",,"April 5, 2023 11:38 AM","May 2, 2023 12:53 PM",10,imac-fly,27
接受當下，採取行動。,《當下的力量（全新紀念版）》,,"November 29, 2022 6:34 PM","May 2, 2023 12:53 PM",10,imac-fly,153
我在意自己當下的生活。,"《為什麼我們不想生》",,"February 9, 2023 7:29 PM","May 1, 2023 10:26 AM",11,imac-fly,80
要把握當下，你得先躺下。,《人生4千個禮拜》,,"July 14, 2022 10:42 AM","May 2, 2023 12:53 PM",12,imac-fly,292
保持專注，臨在當下，覺察當下。,《Headspace冥想正念手冊》,,"April 24, 2022 8:39 AM","April 24, 2022 8:39 AM",15,imac-fly,0
重要的時間只有一種，也就是當下！,《大文豪的童話》,,"October 26, 2022 3:26 PM","October 26, 2022 3:26 PM",16,imac-fly,0
專注於當下要遠比隨興所至困難多了。,《人生賽局》,,"September 10, 2022 4:13 PM","September 10, 2022 4:13 PM",17,imac-fly,0
當下我們通常無從得知那就是最後一次。,《人生4千個禮拜》,,"June 30, 2022 8:16 AM","May 2, 2023 12:54 PM",18,imac-fly,306
創造力出現在當下，時間在當下沒有意義。,《創作，是心靈療癒的旅程》,,"December 16, 2022 12:14 AM","May 2, 2023 12:54 PM",19,imac-fly,137
僧侶就是一個時時刻刻用心活在當下的人。,《僧人心態》,,"June 14, 2022 8:26 AM","June 14, 2022 8:26 AM",19,imac-fly,0
人格可以創造出一種壓倒性的強大「當下」。,《人但有追求，世界亦會指路：愛默生散文精選集》,,"December 19, 2022 12:29 PM","May 2, 2023 12:54 PM",20,imac-fly,134
清醒過來和失去理智，當下的感覺是一樣的。,《創作，是心靈療癒的旅程》,,"September 27, 2022 8:43 AM","May 2, 2023 12:54 PM",20,imac-fly,217
關照每一個當下，不論那個當下有多麼日常。,《人生4千個禮拜》,,"June 25, 2022 6:16 PM","May 2, 2023 12:55 PM",20,imac-fly,310
好習慣的代價在當下，壞習慣的代價在未來。,《原子習慣》,,"May 11, 2022 1:24 PM","May 2, 2023 12:55 PM",20,imac-fly,355
"人生沒有標準答案，只有當下的最適選擇。","《從絕望到希望的阿德勒幸福論》",,"April 5, 2023 12:41 AM","April 5, 2023 12:41 AM",21,imac-fly,0
喜悅就是活在當下，就是超越死亡，解脫成就。,《劉若瑀的三十六堂表演課》,,"December 8, 2022 1:57 PM","December 8, 2022 1:57 PM",21,imac-fly,0
承諾機制是用當下做的選擇來控制未來的行為。,《原子習慣》,,"July 5, 2022 1:26 PM","May 2, 2023 12:55 PM",21,imac-fly,300
把當下在做的事視為唯一重要的事，全副投入。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 26, 2022 1:11 PM","May 2, 2023 12:55 PM",21,imac-fly,309
覺知身體可以幫助你保持臨在，讓你定錨於當下。,"《當下的力量（全新紀念版）》",,"February 1, 2023 4:11 PM","March 26, 2023 5:18 PM",22,imac-fly,53
當下是你唯一的住址，此時此地是你唯一的住處。,《薩古魯談業力》,,"November 27, 2022 7:14 PM","November 27, 2022 7:14 PM",22,imac-fly,0
專注於當下的話，自然就會出現與之呼應的未來。,《歡迎光臨夢境百貨》,,"November 11, 2022 9:05 AM","November 11, 2022 9:05 AM",22,imac-fly,0
臨在是重獲自由的關鍵，你只能在當下獲得解脫。,《當下的力量（全新紀念版）》,,"November 9, 2022 12:49 PM","November 9, 2022 12:49 PM",22,imac-fly,0
有意識地活在當下，不讓思緒在過去或將來游移。,《剛好就能多活10年》,,"April 14, 2022 3:19 PM","April 14, 2022 3:19 PM",22,imac-fly,0
冥想就是練習忽略分心事物，將注意力集中於當下。,《更快樂的1小時》,,"December 14, 2022 3:45 PM","December 14, 2022 3:45 PM",23,imac-fly,0
必須把當下在做的事視為唯一重要的事，全副投入。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"December 10, 2022 12:17 PM","December 10, 2022 12:17 PM",23,imac-fly,0
