Name,Description,Note,Created,Last edited time,length,Created by,Days
享受痛苦！,《人生給的答案Ⅰ》,,"November 8, 2022 7:06 PM","November 8, 2022 7:06 PM",5,imac-fly,0
痛苦＋反省＝進步。,《原則》,,"June 20, 2022 3:00 PM","May 1, 2023 10:21 AM",9,imac-fly,314
時間會治癒所有傷痛。,《為什麼要睡覺？》,,"November 19, 2022 11:39 PM","May 1, 2023 10:23 AM",10,imac-fly,162
養成擁抱痛苦的習慣。,《原則》,,"November 14, 2022 2:46 PM","April 28, 2023 1:31 PM",10,imac-fly,164
喜悅不等於沒有痛苦。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 9, 2022 12:40 PM","April 28, 2023 1:31 PM",10,imac-fly,170
痛為難免，苦是自取。,《最後一次相遇，我們只談喜悅》,,"June 5, 2022 12:47 PM","April 28, 2023 1:31 PM",10,imac-fly,327
痛苦才是活著的證據。,《讓尼采當你的心理師》,,"April 11, 2022 2:45 PM","April 28, 2023 1:31 PM",10,imac-fly,381
持續性疼痛會讓大腦老化。,"《疼痛大解密》",,"April 20, 2023 1:18 PM","April 26, 2023 12:11 PM",12,imac-fly,5
花錢之痛＝時間＋注意力。,《金錢心理學》,,"July 17, 2022 9:16 AM","July 17, 2022 9:16 AM",12,imac-fly,0
痛苦具有令我們成長的力量。,《過得還不錯的人生》,,"September 21, 2022 2:36 PM","April 28, 2023 1:31 PM",13,imac-fly,218
痛苦的深淵，能造就喜悅的高峰。,《最後一次相遇，我們只談喜悅》,,"May 3, 2022 10:11 AM","April 28, 2023 1:31 PM",15,imac-fly,360
太自我中心的想法，是痛苦的溫床。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 1, 2022 12:13 PM","November 1, 2022 12:13 PM",16,imac-fly,0
對抗痛苦的祕訣就是──痛苦本身。,《尼采如是說【尼采四傑作精選集】》,,"October 26, 2022 10:44 PM","October 26, 2022 10:44 PM",16,imac-fly,0
災厄、病痛和死亡，都是生所必然。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 8:42 AM","May 1, 2023 10:23 AM",16,imac-fly,369
痛苦的夢和焦慮的夢也是願望的實現。,"《夢的解析》",,"March 2, 2023 6:52 PM","April 5, 2023 9:22 AM",17,imac-fly,33
"雙臀擠壓：這也有助於緩解背痛。","《生產隊友》",,"February 13, 2023 2:24 PM","February 13, 2023 2:24 PM",17,imac-fly,0
"閱讀能夠與自己痛苦的經驗溝通。","《去書店買個好人生》",,"January 16, 2023 2:24 PM","January 16, 2023 2:24 PM",17,imac-fly,0
學習以開放好奇的態度面對痛苦感受。,《正念》,,"October 31, 2022 3:24 PM","April 27, 2023 3:29 PM",17,imac-fly,178
如果人類並未用盡千年書寫愛的痛苦。,遑論愛的信念消失後引發的失去自我,,"October 10, 2022 10:00 PM","April 28, 2023 1:31 PM",17,imac-fly,199
傷痛要銘記在心，才有辦法往前走下去。,《64【全球盛讚推崇，橫山秀夫經典鉅作】》,,"October 5, 2022 11:43 AM","October 5, 2022 11:43 AM",18,imac-fly,0
