Name,Description,Note,Created,Last edited time,length,Created by,Days
在感到飢餓前入睡。,《健身毀了我身體(暢銷慶功版)》,,"November 14, 2022 4:23 PM","April 28, 2023 12:34 PM",9,imac-fly,164
睡前一起分享今天的心情。,"《關係的刻意練習》",,"February 15, 2023 6:17 PM","April 28, 2023 12:34 PM",12,imac-fly,71
睡眠本質上是死亡過程的預演。,"《睡眠、夢和死亡過程》",,"April 11, 2023 11:34 AM","April 28, 2023 12:34 PM",14,imac-fly,17
床僅限於睡眠及親密關係使用。,"《清醒夢療法》",,"March 2, 2023 1:19 AM","April 26, 2023 7:08 PM",14,imac-fly,55
冥想還能減少你對睡眠的需求。,《冥想【全球暢銷20年經典版】：認識內在自我，與外在世界和諧共處，獲得真正的滿足》,,"April 13, 2022 10:30 AM","April 28, 2023 12:34 PM",14,imac-fly,380
睡眠和性高潮是死亡的昇華形式。,"《睡眠、夢和死亡過程》",,"March 23, 2023 12:24 PM","April 28, 2023 12:34 PM",15,imac-fly,36
睡飽一點也是控管壓力的必要手段。,"《尺碼謊言》",,"April 22, 2023 8:41 PM","April 28, 2023 12:34 PM",16,imac-fly,5
壓抑睡眠最烈的光源是偏短波的藍光。,"《睏世代：為何你的孩子總是睡不飽？》",,"March 29, 2023 12:13 PM","April 28, 2023 12:34 PM",17,imac-fly,30
缺乏充足的睡眠，是邁向肥胖的捷徑。,《健身毀了我身體(暢銷慶功版)》,,"November 14, 2022 4:24 PM","April 28, 2023 12:34 PM",17,imac-fly,164
睡眠缺乏是所有工業化國家的流行病。,《為什麼要睡覺？》,,"May 9, 2022 9:54 PM","April 28, 2023 12:34 PM",17,imac-fly,353
運動員應該努力做到每晚睡八到十小時。,《運動健護全書》,,"May 14, 2022 9:50 AM","April 28, 2023 12:34 PM",18,imac-fly,349
睡眠可以保證必須加以防守的城堡的安全。,"《夢的解析》",,"March 2, 2023 8:35 PM","April 28, 2023 12:34 PM",19,imac-fly,56
正常男性在夜裡睡覺時平均會有五次勃起。,"《好色醫學必修32堂課》",,"December 28, 2022 5:25 PM","April 28, 2023 12:35 PM",19,imac-fly,120
花點時間靜坐或深呼吸可以代替午睡補眠。,《選3哲學：聚焦3件事，解決工作生活兩難，搞定你的超載人生》,,"September 23, 2022 7:39 PM","April 28, 2023 12:35 PM",19,imac-fly,216
午睡時間以「十五到二十分鐘」為限的原則。,《越睡越瘦的睡眠聖經》,,"July 8, 2022 8:30 PM","April 28, 2023 12:34 PM",20,imac-fly,293
在睡前補充蛋白質，增強睡眠時的蛋白合成。,《美國第一健身強人，給女生的科學化鍛鍊全書》,,"May 13, 2022 6:46 PM","April 28, 2023 12:36 PM",20,imac-fly,349
睡眠過程中的自戀是純粹自然的，是潛意識的。,"《睡眠、夢和死亡過程》",,"March 19, 2023 12:06 PM","April 27, 2023 3:39 PM",21,imac-fly,39
人生最棒的投資就是睡覺、冥想、散步和健身。,《人生給的答案Ⅰ》,,"November 8, 2022 7:10 PM","February 2, 2023 11:52 AM",21,imac-fly,85
充分的睡眠因而可以修復腦中的衝動控制系統。,《為什麼要睡覺？》,,"July 14, 2022 11:15 PM","April 28, 2023 12:35 PM",21,imac-fly,287
沒有睡足八小時的人受傷的風險多了1.7倍。,《運動健護全書》,,"May 14, 2022 9:50 AM","April 28, 2023 12:35 PM",21,imac-fly,349
睡眠太少會提高你冠狀動脈堵塞和脆化的可能。,《為什麼要睡覺？》,,"May 9, 2022 9:55 PM","April 28, 2023 12:35 PM",21,imac-fly,353
睡眠是身體送出生長激素來修補受損肌肉的時候。,"《邊做夢邊冒險》",,"April 5, 2023 1:45 PM","April 28, 2023 12:36 PM",22,imac-fly,22
過敏會導致鼻塞、張嘴呼吸，造成睡眠品質下降。,"《快眠地圖》",,"March 22, 2023 5:04 PM","April 28, 2023 12:35 PM",22,imac-fly,36
"睡前飲食應該以消化速度較慢的蛋白質為主。","《增肌×減脂·科學化飲食全書》",,"March 2, 2023 10:02 PM","March 2, 2023 10:02 PM",22,imac-fly,0
克制自己是痛苦的，不舒散自己的人就不能安睡。,《查拉圖斯特拉如是說》,,"December 11, 2022 2:31 PM","April 28, 2023 12:35 PM",22,imac-fly,137
睡眠不足，保證體重增加，對成人和兒童都一樣。,《為什麼要睡覺？》,,"November 12, 2022 7:56 PM","November 12, 2022 7:56 PM",22,imac-fly,0
只有在無夢的深睡，我們才可能達到真正的休息。,《好睡：新的睡眠科學與醫學》,,"July 8, 2022 8:49 PM","July 8, 2022 8:49 PM",22,imac-fly,0
吵得睡不著，卻只有一個耳塞？放在右耳就對了。,《感官攻略》,,"June 15, 2022 10:05 AM","April 28, 2023 12:35 PM",22,imac-fly,317
撫平傷痛的並不是時間，而是花在做夢的睡眠時間。,"《為什麼要睡覺？》",,"February 21, 2023 9:39 AM","April 28, 2023 12:35 PM",23,imac-fly,66
牠們會睡上三四個月，在這段期間不尿尿也不排便。,"《跳舞的熊》",,"February 7, 2023 11:26 AM","April 28, 2023 12:35 PM",23,imac-fly,80
"白天和晚上睡覺時，我都盡量保持微涼的狀態。","《可不可以不變老？》",,"February 4, 2023 11:12 AM","February 4, 2023 11:12 AM",23,imac-fly,0
服用佐沛眠的睡眠無法加深記憶，甚至會消除記憶。,《為什麼要睡覺？》,,"November 19, 2022 11:40 PM","April 28, 2023 12:35 PM",23,imac-fly,159
不要設定一個會讓自己帶著壞能量起床的睡前程序。,《僧人心態》,,"October 6, 2022 2:22 PM","October 6, 2022 2:22 PM",23,imac-fly,0
掌握好「前三個小時不可中斷並深沉熟睡」的原則，,《越睡越瘦的睡眠聖經》,,"July 8, 2022 8:33 PM","July 8, 2022 8:33 PM",23,imac-fly,0
「特別累的那一天」別懷疑，提早三十分鐘上床睡覺。,"《最強睡眠法》",,"March 22, 2023 4:47 PM","April 28, 2023 12:36 PM",24,imac-fly,36
"我每晚入睡，就是死去。我每日醒來，就是重生。","《最後14堂星期二的課（20週年紀念版）》",,"February 12, 2023 10:48 AM","February 12, 2023 10:48 AM",24,imac-fly,0
黎明從不曾將我們放棄，哪怕在我們睡得最熟的時刻。,《湖濱散記》,,"October 8, 2022 11:03 AM","October 8, 2022 11:03 AM",24,imac-fly,0
要成功啟動睡眠，你的核心體溫必須降低約攝氏一度。,《為什麼要睡覺？》,,"September 16, 2022 9:23 AM","April 28, 2023 12:36 PM",24,imac-fly,224
先把作息調整為「晚上睡覺、白天醒著」的基本模式。,《越睡越瘦的睡眠聖經》,,"July 8, 2022 8:34 PM","April 28, 2023 12:36 PM",24,imac-fly,293
入睡前都會告訴自己：「我感到放鬆、充滿能量和專注。,《僧人心態》,,"October 6, 2022 2:22 PM","October 6, 2022 2:22 PM",25,imac-fly,0
睡眠不足的腦，會在情緒狀態的正負兩個極端大幅擺盪。,《為什麼要睡覺？》,,"June 20, 2022 5:47 PM","June 20, 2022 5:47 PM",25,imac-fly,0
我不打算在接下來的10小時內睡覺，就會喝一杯咖啡。,《極度專注力》,,"April 26, 2022 10:15 AM","April 26, 2022 10:15 AM",25,imac-fly,0
"要有良好的睡眠，重要的是睡前一小時至兩小時洗澡。","《30年不生病的健康管理法》",,"March 25, 2023 4:40 PM","March 25, 2023 4:40 PM",26,imac-fly,0
當你入睡時和當你瀕死時的經驗都來自於各種元素的瓦解。,"《睡眠、夢和死亡過程》",,"March 23, 2023 12:13 PM","April 28, 2023 12:36 PM",26,imac-fly,36
"我從小學三年級之後，大概都是以睡到自然醒為原則。","《我的99個私抽屜》",,"March 10, 2023 2:12 PM","March 10, 2023 2:12 PM",26,imac-fly,0
在成人階段睡得太少，得到阿茲海默症的風險將顯著提高。,"《為什麼要睡覺？》",,"February 21, 2023 9:36 AM","April 28, 2023 12:36 PM",26,imac-fly,66
"想要增強記憶，晚上十點入睡，早上五點半起床最好。","《唐鳳的破框思考力》",,"February 6, 2023 12:55 PM","February 6, 2023 12:55 PM",26,imac-fly,0
有一項鼓勵人心的消息是，充分睡眠可以幫助你控制體重。,《為什麼要睡覺？》,,"September 11, 2022 11:49 AM","September 11, 2022 11:49 AM",26,imac-fly,0
夢可將睡眠時的一些微弱刺激，放大建構為較強烈的刺激。,《夢的解析》,,"July 10, 2022 10:53 AM","April 28, 2023 12:36 PM",26,imac-fly,292
精神病學便已注意到睡眠困擾和精神病會同時發生的現象。,《為什麼要睡覺？》,,"June 20, 2022 5:48 PM","February 18, 2023 12:27 PM",26,imac-fly,242
"有睡夠，每天醒來就會多一些空間，可以裝得下新東西。","《唐鳳的破框思考力》",,"February 6, 2023 12:56 PM","February 6, 2023 12:56 PM",27,imac-fly,0
「作夢是睡眠時的思考」，而遠非什麼來自神聖根源的產物。,《夢的科學》,,"December 14, 2022 5:53 PM","December 14, 2022 5:53 PM",27,imac-fly,0
晚上入睡時的情緒，很可能就是你第二天早上起床時的情緒。,《僧人心態》,,"October 6, 2022 2:22 PM","October 6, 2022 2:22 PM",27,imac-fly,0
或許治癒所有傷痛的並不是時間，而是花在做夢的睡眠時間。,《為什麼要睡覺？》,,"September 16, 2022 8:50 AM","April 28, 2023 12:36 PM",27,imac-fly,224
而溫度低於攝氏12.5度時，對於睡眠的害處會大於好處。,《為什麼要睡覺？》,,"July 2, 2022 9:43 PM","April 28, 2023 12:36 PM",27,imac-fly,299
晚上入睡時的情緒，很可能就是你第二天早上起床時的情緒。,《僧人心態》,,"June 9, 2022 3:09 PM","June 9, 2022 3:09 PM",27,imac-fly,0
"睡眠和在銀行存錢不一樣，你欠下的債無法在往後補回來。","《為什麼要睡覺？》",,"February 21, 2023 9:35 AM","February 21, 2023 9:35 AM",28,imac-fly,0
自殺念頭、嘗試自殺以及完成自殺，和前一晚的睡眠剝奪有關。,"《為什麼要睡覺？》",,"February 21, 2023 9:31 AM","April 28, 2023 12:37 PM",28,imac-fly,66
睡得愈少，發生或死於冠狀動脈心臟病的相關風險增加了45％,《為什麼要睡覺？》,,"June 20, 2022 5:48 PM","June 20, 2022 5:48 PM",28,imac-fly,0
睡眠不足會抑制肌肉生長，降低減脂速度，甚至導致肌肉流失。,《美國第一健身強人科學化鍛鍊全書》,,"May 14, 2022 9:48 AM","May 14, 2022 9:48 AM",28,imac-fly,0
使用iPad閱讀之後，這個人會明顯失去大量快速動眼睡眠。,《為什麼要睡覺？》,,"May 9, 2022 9:56 PM","April 28, 2023 12:37 PM",28,imac-fly,353
我睡覺時，夢到人生一片美滿，我醒來時，發現人生盡是承擔。,《朝聖者》,,"May 2, 2022 9:13 AM","April 28, 2023 12:37 PM",28,imac-fly,361
"把早春時期當作「一年中可以放心睡覺的時期」，放過自己。","《快眠地圖》",,"March 22, 2023 4:56 PM","March 22, 2023 4:56 PM",29,imac-fly,0
"睡眠是一種積極的現象。它是一種具有自己法則的意識狀態。","《睡眠、夢和死亡過程》",,"March 12, 2023 9:31 AM","March 12, 2023 9:31 AM",29,imac-fly,0
要睡午覺的話一定要在午餐過後的午休時間到下午三點之間完成。,《越睡越瘦的睡眠聖經》,,"July 8, 2022 8:29 PM","April 28, 2023 12:37 PM",29,imac-fly,293
"時間意識。在我們睡著跟我們清醒的時候，時間是很不相同的。","《睡眠、夢和死亡過程》",,"April 11, 2023 11:40 AM","April 11, 2023 11:40 AM",30,imac-fly,0
實際上還沒有科學證據顯示任何藥物、裝置或意志力能夠取代睡眠。,《為什麼要睡覺？》,,"November 12, 2022 8:08 PM","November 12, 2022 8:08 PM",30,imac-fly,0
遺憾的是，人類是唯一會在無益的情況下故意剝奪自己睡眠的生物。,《為什麼要睡覺？》,,"November 12, 2022 8:03 PM","November 12, 2022 8:03 PM",30,imac-fly,0
榮格心理學告訴我們，人們剛睡醒的四十五分鐘，防衛心尚未就緒。,《聆聽之路》,,"November 9, 2022 9:39 AM","November 9, 2022 9:39 AM",30,imac-fly,0
好好吃一餐、舒服地泡個澡、睡個好覺，身體和工作表現都會因此。,《最強睡眠法》,,"July 8, 2022 9:18 PM","March 26, 2023 5:18 PM",30,imac-fly,260
學會了主動睡木板床、披獸皮，或遵循其他類似的希臘式生活紀律。,《沉思錄》,,"May 23, 2022 6:04 PM","April 28, 2023 12:38 PM",30,imac-fly,339
研究找不出一個人在白天的活動水平和當晚的睡眠品質存有任何關係。,"《邊做夢邊冒險》",,"April 5, 2023 1:48 PM","April 26, 2023 7:39 PM",31,imac-fly,21
使用處方睡眠藥物的人，顯著地比不用藥的人更容易死亡與發生癌症。,《為什麼要睡覺？》,,"November 19, 2022 11:41 PM","April 28, 2023 12:37 PM",31,imac-fly,159
壓力、冥想、睡眠、運動和懷孕都是會影響表觀遺傳的幾種內在情況。,《逆轉疾病的科學食療聖經》,,"July 6, 2022 7:08 PM","July 6, 2022 7:08 PM",31,imac-fly,0
事實上已有研究顯示每多通勤一分鐘，學生的睡眠就會流失一點三分鐘。,"《睏世代：為何你的孩子總是睡不飽？》",,"April 22, 2023 9:15 PM","April 28, 2023 12:37 PM",32,imac-fly,5
睡眠絕不是一種容易的藝術，必須有整個晝間的清醒，才有夜間的熟眠。,《查拉圖斯特拉如是說》,,"December 11, 2022 2:31 PM","December 11, 2022 2:31 PM",32,imac-fly,0
睡眠豐富了各種腦功能，包括學習、記憶、做出合理決策與選擇的能力。,《為什麼要睡覺？》,,"June 20, 2022 5:45 PM","April 28, 2023 12:37 PM",32,imac-fly,311
睡眠絕不是一種容易的藝術，必須有整個晝間的清醒，才有夜間的熟眠。,《查拉圖斯特拉如是說》,,"April 11, 2022 5:50 PM","April 28, 2023 12:37 PM",32,imac-fly,381
"縱令你有了一切道德，你還得知道一件事：合時合宜地遣道德去睡眠。","《查拉圖斯特拉如是說》",,"March 18, 2023 10:42 AM","March 18, 2023 10:42 AM",33,imac-fly,0
睡不著的人只要做大重量的深蹲，就能讓睡眠品質提升，簡直就是完美啊。,《想死不如健身！改變一生的超科學理由》,,"May 21, 2022 10:59 AM","April 28, 2023 12:37 PM",33,imac-fly,342
"睡眠絕不是一種容易的藝術，必須有整個晝間的清醒，才有夜間的熟眠。","《查拉圖斯特拉如是說》",,"March 18, 2023 10:41 AM","March 18, 2023 10:41 AM",34,imac-fly,0
"睡眠絕不是一種容易的藝術，必須有整個晝間的清醒，才有夜間的熟眠。","《查拉圖斯特拉如是說》",,"March 18, 2023 10:37 AM","March 18, 2023 10:37 AM",34,imac-fly,0
四肢容易水腫、胸部脹痛、注意力渙散、嗜睡、無力，和經前症候群很類似。,"《好孕，做自己》",,"March 2, 2023 4:46 PM","April 28, 2023 12:37 PM",34,imac-fly,56
為了增強入睡前狀態的突破能力，讓視覺皮質不受阻礙，所以才把燈光調暗。,《創意天才的蝴蝶思考術》,,"December 28, 2022 8:47 AM","April 28, 2023 12:38 PM",34,imac-fly,121
酒精帶你進入的腦波狀態和自然睡眠的腦波不同，反而比較接近輕微的麻醉。,《為什麼要睡覺？》,,"September 16, 2022 9:24 AM","April 27, 2023 3:42 PM",34,imac-fly,223
"想要寫作的時候就想像自己站在高處，可說是數綿羊入睡的浪漫主義版本。","《心向群山》",,"February 1, 2023 9:45 PM","February 1, 2023 9:45 PM",35,imac-fly,0
"我很感謝在出現睡意之前的這段時間，覺得是「上天送給我的閱讀時光。」","《去書店買個好人生》",,"January 16, 2023 2:18 PM","January 16, 2023 2:18 PM",35,imac-fly,0
「可是人人皆屬於其他所有人。」管理者作結，引述透過睡眠學習學來的諺語。,《美麗新世界》,,"October 13, 2022 10:39 PM","October 13, 2022 10:39 PM",35,imac-fly,0
