Name,Description,Note,Created,Last edited time,length,Created by,Days
禪意味著身體思考。,"《Authentic Movement》",,"April 23, 2023 8:28 PM","May 4, 2023 9:39 PM",9,imac-fly,11
禪定可斷內心諸相變化。,"《瑜伽秘要（最新修訂版）》",,"January 1, 2023 12:28 PM","May 4, 2023 9:31 PM",11,imac-fly,123
在禪中，個人經驗是一切。,"《Authentic Movement》",,"April 23, 2023 8:24 PM","May 4, 2023 9:38 PM",12,imac-fly,11
禪的藝術是要讓事實和道路顯現。,"《禪與拯救地球的藝術》",,"March 25, 2023 7:47 PM","May 4, 2023 9:31 PM",15,imac-fly,40
沒有禪定的修持，你看不到心的本性。,《僧侶與哲學家》,,"December 24, 2022 1:14 PM","December 24, 2022 1:14 PM",17,imac-fly,0
追求禪的絕對境界，當中沒有任何對立。,"《禪學入門》",,"March 29, 2023 11:34 AM","May 4, 2023 9:31 PM",18,imac-fly,36
做每件事都能保持正念，這就是在禪修。,《佛陀之心》,,"November 24, 2022 4:13 PM","May 4, 2023 9:31 PM",18,imac-fly,161
禪修就是把覺察力鎖定在移動的身體上。,《正念》,,"July 26, 2022 8:34 PM","March 26, 2023 5:18 PM",18,imac-fly,242
活著就是肯定生命，這就是最純粹的禪意。,《禪學入門》,,"December 26, 2022 9:49 PM","May 2, 2023 1:37 PM",19,imac-fly,126
這種友善對待身心的精神，是禪修的重點。,《正念》,,"September 17, 2022 10:12 PM","September 17, 2022 10:12 PM",19,imac-fly,0
禪宗強調人的精神，信奉人內在的純潔與善。,"《禪學入門》",,"March 29, 2023 11:38 AM","May 2, 2023 8:03 PM",20,imac-fly,34
禪宗並不討論神是否存在，既不否定、也不堅持。,"《禪學入門》",,"March 29, 2023 11:37 AM","May 4, 2023 9:31 PM",22,imac-fly,36
禪是平常心，平常心就是「餓了就吃，睏了就睡」。,《箭藝與禪心》,,"December 23, 2022 11:29 AM","May 4, 2023 9:39 PM",23,imac-fly,132
禪宗要我們發自內心過生活，並創造自己獨有的原則。,"《禪學入門》",,"March 29, 2023 11:40 AM","May 4, 2023 9:31 PM",24,imac-fly,36
禪修就是「深觀事實的核心，看到別人無法看到的」。,《禪與拯救地球的藝術》,,"November 24, 2022 4:39 PM","November 24, 2022 4:39 PM",24,imac-fly,0
禪坐修行時，不斷思考一己生命有限，是很重要的事。,《最後一次相遇，我們只談喜悅》,,"May 16, 2022 2:18 PM","May 2, 2023 9:08 AM",24,imac-fly,350
禪與任何文字、說法無關，而是要人當下找到平靜之處。,"《禪學入門》",,"March 29, 2023 11:38 AM","May 4, 2023 9:31 PM",25,imac-fly,36
用禪的眼光來看，最實際的事物，就具有最深長的意味。,《禪學入門》,,"December 26, 2022 9:51 PM","December 26, 2022 9:51 PM",25,imac-fly,0
在禪修當中，如果心神散亂，你可能會有極為重要的體悟。,《正念》,,"October 31, 2022 3:29 PM","May 4, 2023 9:31 PM",26,imac-fly,185
所有佛教的宗派，除了禪以外，都基於某些特定聖典的權威。,"《武士的宗教》",,"March 26, 2023 9:33 PM","May 4, 2023 9:31 PM",27,imac-fly,38
"佛性的總和就是禪，而我們「真我」產生的妙德就是戒。","《禪的正門》",,"March 25, 2023 5:04 PM","March 25, 2023 5:04 PM",27,imac-fly,0
"我們不以定來逃避苦，禪修是為了讓自己深刻地活在當下。","《佛陀之心》",,"March 28, 2023 9:36 AM","March 28, 2023 9:36 AM",28,imac-fly,0
你應該選定一個禪修所緣，然後就一直運用，而不要換來換去。,"《進入禪定的第一堂課：超越觀呼吸》",,"March 25, 2023 10:35 AM","May 4, 2023 9:31 PM",28,imac-fly,40
"當注意與觀察的力量變強時，禪修者會看見所緣的快速生滅。","《念住內觀》",,"March 9, 2023 7:12 PM","March 9, 2023 7:12 PM",29,imac-fly,0
你從禪修體悟到，如果抱著好奇的態度，就很難同時感到不快樂。,《正念》,,"October 31, 2022 3:26 PM","April 28, 2023 12:47 PM",29,imac-fly,178
你不需要經年累月禪修後才嘗得到甜頭，每一分鐘都有它的功效。,《正念》,,"October 31, 2022 3:23 PM","May 4, 2023 9:32 PM",29,imac-fly,185
禪宗最根本的目標，就是讓修行者深入了解自己心靈或靈魂的真性。,"《禪學入門》",,"March 29, 2023 11:38 AM","May 4, 2023 9:37 PM",30,imac-fly,36
"禪是知覺或感覺，而不是抽象或沉思。禪會浸潤而消融於其中。","《鈴木大拙禪學入門》",,"March 28, 2023 8:51 AM","March 28, 2023 8:51 AM",30,imac-fly,0
"一旦你放掉依戀心、嗔恨心、自大心，禪定就成了你自然的狀態。","《大師在喜馬拉雅山》",,"February 15, 2023 10:42 PM","February 15, 2023 10:42 PM",31,imac-fly,0
經驗老到的禪修者並非始終能保持一心不亂，而是非常習慣重新開始。,《正念》,,"September 17, 2022 10:17 PM","September 17, 2022 10:17 PM",31,imac-fly,0
禪修雖然可以帶來愉悅的境界，它真正的好處卻是持久的內心素質提升。,《平靜的心，專注的大腦》,,"October 24, 2022 6:21 PM","May 4, 2023 9:37 PM",32,imac-fly,192
"第二個護衛禪是「慈心禪」──修習慈心，祝願他人獲得幸福與成功。","《念住內觀》",,"March 9, 2023 7:56 PM","March 9, 2023 7:56 PM",33,imac-fly,0
如果沒有過去十五年來禪修給我的專注、平靜及見解，我不可能寫出這本書,《人類大命運》,,"June 13, 2022 11:31 PM","June 13, 2022 11:31 PM",33,imac-fly,0
"當禪要你嚐一嚐糖的甜味時，它是要你把糖放到嘴裡，什麼話也不必說。","《鈴木大拙禪學入門》",,"March 28, 2023 8:54 AM","March 28, 2023 8:54 AM",34,imac-fly,0
禪宗要我們發自內心過生活，並創造自己獨有的原則，而不受一般社會規範所束縛。,"《禪學入門》",,"March 29, 2023 11:31 AM","May 4, 2023 9:38 PM",37,imac-fly,36
不論在什麼時候，禪修時都要記住這句話：「不分心也不抓牢」，而且要付諸實行。,《專注力》,,"April 25, 2022 1:35 PM","April 25, 2022 1:35 PM",37,imac-fly,0
佛學思想進入中土，道家有接引之功；莊、禪的會合更在隋唐產生了輝煌的文化成果。,"《道家的人文精神》",,"February 4, 2023 5:13 PM","April 29, 2023 4:27 AM",38,imac-fly,83
不要執著於任何事，這就是禪。如果你了解這點，出外、在家，坐著、躺著都在禪之中。,"《武士的宗教》",,"March 26, 2023 9:23 PM","May 4, 2023 9:38 PM",39,imac-fly,39
趙州如是直率地揭穿了虛無哲學的無益。為了悟禪，即使是「無一物」的念頭也要拋棄。,《鈴木大拙禪學入門》,,"December 26, 2022 9:57 PM","December 26, 2022 9:57 PM",39,imac-fly,0
如果禪修的任一方面可助人減輕痛苦，就應該提供給所有人，而不僅限於探索心靈的人。,《平靜的心，專注的大腦》,,"October 24, 2022 6:20 PM","May 4, 2023 9:38 PM",39,imac-fly,192
禪要從內在去生活。不要被規則限制住，而是要創造自己的規則，那就是禪要我們過的生活。,"《鈴木大拙禪學入門》",,"March 28, 2023 9:05 AM","May 4, 2023 9:38 PM",41,imac-fly,37
科學只承認可用具體或數學方式證明的事物，而心靈的道路承認禪定經驗所生出的深刻信心。,《僧侶與哲學家》,,"December 24, 2022 1:28 PM","December 24, 2022 1:28 PM",41,imac-fly,0
"一行禪師曾說：「正念的生活，放慢腳步，細心感受每一個瞬間與每一口呼吸，此已足矣。」","《一行禪師傳記》",,"March 29, 2023 10:53 AM","March 29, 2023 10:53 AM",43,imac-fly,0
"你自己的靜默、自足、誠實的存在，那就是禪的真理，也就是我所謂禪自始至終都是實證的。","《鈴木大拙禪學入門》",,"March 28, 2023 8:55 AM","March 28, 2023 8:55 AM",43,imac-fly,0
在禪修中，我們停下來深入觀察。但我們停下來只是為了存在於當下，與自己同在，與世界同在。,《橘子禪》,,"December 26, 2022 8:42 PM","December 26, 2022 8:42 PM",43,imac-fly,0
長期禪修者的前額葉區域和杏仁核區域之間的功能連動會比一般人較好，故可減少情緒反應強度。,《平靜的心，專注的大腦》,,"October 24, 2022 6:21 PM","October 24, 2022 6:21 PM",43,imac-fly,0
"禪修本身既是實相又是開悟的體現。相信、理解、修行、體驗和落實這種知解，就是最上乘禪。","《禪的正門》",,"March 25, 2023 5:04 PM","March 25, 2023 5:04 PM",44,imac-fly,0
真正注意到周遭的事物，會讓大腦擺脫自動駕駛模式。道場每天的行禪都在訓練我們學習注意的工夫。,《僧人心態》,,"December 21, 2022 12:22 AM","December 21, 2022 12:22 AM",45,imac-fly,0
正念或禪修基本上是「經由專注當下、放下批判、慈悲感恩而獲得內心自在超越的心智鍛鍊的歷程」。,《平靜的心，專注的大腦》,,"October 24, 2022 6:21 PM","October 24, 2022 6:21 PM",45,imac-fly,0
