Name,Description,Note,Created,Last edited time,length,Created by,Days
窮不是擁有的少，而是想要的多。,《原子習慣》,,"May 25, 2022 9:50 AM","May 25, 2022 9:50 AM",15,imac-fly,0
但主要從事消費的人們卻越來越窮,《大腦革命的12步》,,"May 12, 2022 7:00 PM","May 12, 2022 7:00 PM",15,imac-fly,0
有錢人專注於機會。窮人專注於障礙。,《有錢人想的和你不一樣》,,"November 19, 2022 5:31 PM","January 12, 2023 1:38 PM",17,imac-fly,53
新秩序的意義都是為了擺脫貧窮與壓迫。,《過去與未來之間》,,"November 5, 2022 9:42 PM","May 2, 2023 8:44 PM",18,imac-fly,177
貧窮與太陽導引且平衡了他的宇宙觀與人生觀。,《荒謬之外：卡繆思想研究》,,"October 26, 2022 5:16 PM","May 2, 2023 8:44 PM",21,imac-fly,188
廣告成了只有窮人和科技文盲才需要繳付的稅金。,《疫後大未來》,,"June 15, 2022 10:07 AM","June 15, 2022 10:07 AM",22,imac-fly,0
那就是安排一段期間嘗試體驗口袋空空的貧窮生活。,"《5000天後的世界》",,"January 15, 2023 11:32 PM","May 1, 2023 10:29 AM",23,imac-fly,105
有錢人很會管理他們的錢。窮人很會搞丟他們的錢。,《有錢人想的和你不一樣》,,"November 19, 2022 5:39 PM","May 2, 2023 8:44 PM",23,imac-fly,164
人要是欺騙自己還有無窮無盡的時間，會變得懶惰。,《也許你該找人聊聊》,,"September 10, 2022 4:50 PM","September 10, 2022 4:50 PM",23,imac-fly,0
美國是地球上最富裕的國家，但它的人民大多很貧窮。,《游牧人生【電影書衣版】》,,"June 11, 2022 11:14 AM","June 11, 2022 11:14 AM",24,imac-fly,0
有錢人專注於自己的淨值。窮人專注於自己的工作收入。,《有錢人想的和你不一樣》,,"November 19, 2022 5:39 PM","April 28, 2023 1:22 PM",25,imac-fly,159
有錢人選擇根據結果拿酬勞。窮人選擇根據時間拿酬勞。,《有錢人想的和你不一樣》,,"November 19, 2022 5:38 PM","April 28, 2023 1:22 PM",25,imac-fly,159
"只要嘗試度過貧窮的生活，以後就不會害怕承擔風險。","《5000天後的世界》",,"January 15, 2023 11:33 PM","January 15, 2023 11:33 PM",26,imac-fly,0
有錢人玩金錢遊戲是為了贏。窮人玩金錢遊戲是為了不要輸。,《有錢人想的和你不一樣》,,"September 14, 2022 8:06 PM","April 28, 2023 12:07 PM",27,imac-fly,225
"只要耳目始終不忘向內守護，便都能無窮無止地悠遊其間。","《莊子，從心開始──完結篇（下）應帝王》",,"April 29, 2023 8:55 AM","April 29, 2023 8:55 AM",28,imac-fly,0
"本世紀中葉的地球上多出來的三十億人口都將源自貧窮國家。","《為什麼我們不想生》",,"January 16, 2023 2:09 PM","January 16, 2023 2:09 PM",29,imac-fly,0
如果你想避免壓力相關疾病，千萬小心別讓自己生活在貧窮當中。,《壓力》,,"November 20, 2022 1:31 PM","November 20, 2022 1:31 PM",29,imac-fly,0
有錢人欣賞其他的有錢人和成功人士。窮人討厭有錢人和成功人士。,《有錢人想的和你不一樣》,,"November 19, 2022 5:31 PM","April 28, 2023 1:22 PM",30,imac-fly,159
梵谷雖然窮困一生，但在死時卻擁有超過一千張日本繪畫的複製品！,《逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證》,,"July 9, 2022 8:46 AM","July 9, 2022 8:46 AM",30,imac-fly,0
有錢人樂意宣傳自己和自己的價值觀。窮人把推銷和宣傳看成不好的事。,《有錢人想的和你不一樣》,,"November 19, 2022 5:31 PM","April 28, 2023 1:23 PM",32,imac-fly,159
"在我們確實使多數老年人遠離貧窮之際，貧窮的兒童人數卻不斷增加。","《失序的心靈》",,"March 30, 2023 4:16 PM","March 30, 2023 4:16 PM",33,imac-fly,0
"矛盾的是在人類歷史上，現在有錢人的活動量第一次超越有工作的窮人。","《天生不愛動》",,"March 19, 2023 9:12 PM","March 19, 2023 9:12 PM",34,imac-fly,0
等到農夫得到了他的房屋，他並沒有更富，倒是更窮了，因為房屋佔有了他。,《湖濱散記》,,"October 8, 2022 12:02 PM","May 2, 2023 8:44 PM",34,imac-fly,206
自由市場本身不會產生對窮人友善的科技，只有由道德引導的正向科技才會。,《反叛的科學家》,,"July 9, 2022 1:52 PM","May 2, 2023 8:05 PM",34,imac-fly,297
"最窮10％的家庭平均仍有5個小孩，每兩家就有一個小孩無法活過5歲。","《真確：扭轉十大直覺偏誤，發現事情比你想的美好》",,"April 25, 2023 7:04 PM","April 25, 2023 7:04 PM",35,imac-fly,0
在開闊的公路上才會有新奇的感受以及無窮的機會。所以該是時候出發上路了。,"《游牧人生【電影書衣版】》",,"March 7, 2023 3:17 PM","May 2, 2023 8:44 PM",35,imac-fly,56
在任何境遇中都能創造喜悅的能力也很神奇。這些人也許窮，但他們沒有受苦。,《薩古魯談業力》,,"October 5, 2022 12:39 PM","October 5, 2022 12:39 PM",35,imac-fly,0
一個重要的區別是富人最後才買奢侈品，而窮人和中產階級則傾向先買奢侈品。,《富爸爸，窮爸爸(二十週年紀念版)》,,"May 6, 2022 11:47 AM","May 6, 2022 11:47 AM",35,imac-fly,0
浮誇型自戀者拒絕並否認那個窮困的輸家自我，躲到一個自己是贏家的幻想形象裡,《你所不知道的自戀狂》,,"November 22, 2022 5:09 PM","November 22, 2022 5:09 PM",36,imac-fly,0
在最貧窮的地方，你絕對不該求完美，否則等於竊占了原本能運用得更好的資源。,《真確：扭轉十大直覺偏誤，發現事情比你想的美好》,,"June 17, 2022 7:29 PM","June 17, 2022 7:29 PM",36,imac-fly,0
實際上，我們一旦避免無窮無盡的重複，而是在不同任務之間轉換，學習效果反而更好。,《逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證》,,"June 30, 2022 7:57 AM","June 30, 2022 7:57 AM",39,imac-fly,0
"當一個人需要出言恐嚇的時候，正代表他已經黔驢技窮，沒有別的能力足以影響對方。","《恐懼，是保護你的天賦》",,"January 20, 2023 6:52 PM","January 20, 2023 6:52 PM",40,imac-fly,0
"雖然父母決定再婚組成新家庭時，孩子一般沒有發言權[13]，他們卻有無窮的破壞力量。","《變身後媽》",,"January 27, 2023 6:53 PM","January 27, 2023 6:53 PM",43,imac-fly,0
抽離是一種自制的形式，對我提過的各種自我覺察都會帶來無窮利益，但其源頭始終在我們的心智。,《僧人心態》,,"November 2, 2022 10:27 PM","November 2, 2022 10:27 PM",44,imac-fly,0
中古世紀裡，窮人小孩喝牛乳，有錢人家的小孩喝奶媽的奶，階級差異打從出生後的第一滴奶便開始。,《乳房的歷史》,,"December 2, 2022 4:20 PM","December 2, 2022 4:20 PM",45,imac-fly,0
"我想再向年輕人建議另一個我曾經實踐的事情，那就是安排一段期間嘗試體驗口袋空空的貧窮生活。","《5000天後的世界》",,"March 19, 2023 1:48 PM","March 19, 2023 1:48 PM",46,imac-fly,0
當我們陷入貧窮思維時，就會專注在自己缺乏的東西上，感覺自己不值得愛，卻忽略了已經擁有的一切。,《僧人心態》,,"June 14, 2022 8:15 AM","June 14, 2022 8:15 AM",46,imac-fly,0
當我們相信自己正在做的事情，就不會陷入漫無目的的窮忙狀態。我們會變得更創新、有創意、活在當下。,《子彈思考整理術》,,"July 15, 2022 9:47 AM","May 2, 2023 8:44 PM",47,imac-fly,291
尼采所說的：人類是唯一一種會因為受盡折磨而發笑的動物，需要透過幻想這種窮途末路的手段來減輕痛苦。,"《論幽默》",,"February 6, 2023 12:00 PM","May 2, 2023 8:44 PM",48,imac-fly,85
依叔本華看來，人便是求生意志的工具，然而這意志使我們投向於無止境的饜欲中，慾望無窮，而滿足有限。,《悲劇哲學家尼采》,,"October 26, 2022 11:06 PM","May 2, 2023 8:45 PM",48,imac-fly,187
滿足＝喜歡－想要。這樣的智慧讓古羅馬哲學家塞內卡說出這句名言：「窮不是擁有的少，而是想要的多。」,《原子習慣》,,"June 7, 2022 3:10 PM","May 2, 2023 8:45 PM",48,imac-fly,329
"對於窮人來說，吃是忘懷，忘記生活的苦、人生的難；也是安慰，安慰疲憊的心、困頓的身，吃的是飽足。","《過度飲食心理學》",,"May 1, 2023 12:08 PM","May 1, 2023 12:08 PM",49,imac-fly,0
"所謂「窮不過三代」，他們家人對這句話很有感，因為窮到第三代就沒錢娶老婆了，自然就不會有第四代。","《你好，我是接體員》",,"March 2, 2023 9:58 PM","March 2, 2023 9:58 PM",49,imac-fly,0
集合無窮的好奇心、精力、數不盡的熱情的人生。作一個旅者、作一個作家，我童稚的心靈開始將兩者合而為一。,《桑塔格》,,"November 27, 2022 8:44 PM","May 1, 2023 10:13 AM",50,imac-fly,154
臺灣應以人與社會為主體看待經濟發展的方向，而不是將血汗窮忙的人們和傾斜的社會擄去服膺資本積累的邏輯。,《台灣擴充：吳啓禎談經濟轉型》,,"July 24, 2022 8:23 AM","July 24, 2022 8:23 AM",50,imac-fly,0
"食物堆得像山一樣高，馬不停蹄地即時補滿，看起來豐盛富足，其實看穿了，就知道它是社會貧窮之後的異形。","《過度飲食心理學》",,"May 1, 2023 12:31 PM","May 1, 2023 12:31 PM",51,imac-fly,0
