Name,Description,Note,Created,Last edited time,length,Created by,Days
夢能夠支配來自童年的材料。,《夢的解析》,,"July 10, 2022 11:10 AM","May 1, 2023 10:08 AM",13,imac-fly,294
童年就像春天，總是晴雨交替。,《為了自由》,,"November 6, 2022 2:03 PM","May 1, 2023 10:08 AM",14,imac-fly,175
羞恥感是童年缺乏滿足的嚴重後遺症。,《為什麼我們總是在逃避？》,,"September 16, 2022 9:14 AM","May 1, 2023 10:08 AM",17,imac-fly,227
比起低能的孩童，聰明的孩子更容易感到氣餒。,《阿德勒談生命風格》,,"July 10, 2022 9:30 PM","May 1, 2023 10:08 AM",21,imac-fly,294
唯有在童話中，國王才會被告知自己沒穿衣服。,《窮查理的普通常識（增修版）》,,"June 21, 2022 4:47 PM","May 1, 2023 10:10 AM",21,imac-fly,313
對我們影響最深的那些印象——童年早期的印象。,"《夢的解析》",,"February 18, 2023 10:54 PM","May 1, 2023 10:10 AM",22,imac-fly,71
遊戲是兒童理解世界的管道，玩耍是他們的工作。,"《自然教養》",,"February 17, 2023 2:10 PM","April 28, 2023 12:06 PM",22,imac-fly,69
童年時期的「幸」，遠比「不幸」更能預測未來。,"《哈佛教你幸福一輩子》",,"January 30, 2023 7:22 PM","April 28, 2023 1:11 PM",22,imac-fly,87
睡眠不足，保證體重增加，對成人和兒童都一樣。,《為什麼要睡覺？》,,"November 12, 2022 7:56 PM","November 12, 2022 7:56 PM",22,imac-fly,0
有語言障礙的兒童通常是由於被過分寵愛的緣故。,《阿德勒心理學講義2》,,"July 10, 2022 7:01 PM","July 10, 2022 7:01 PM",22,imac-fly,0
低能孩童與被寵壞的孩子，會發展出相同生命風格。,《阿德勒談生命風格》,,"July 10, 2022 9:31 PM","May 1, 2023 10:11 AM",23,imac-fly,294
"盧梭則強調兒童的純真狀態，應順其自然發揮天性。","《拚教養》",,"February 17, 2023 1:58 PM","February 17, 2023 1:58 PM",25,imac-fly,0
兒童和青少年的「樂趣」意味著「在乎」，這會導致努力。,"《給孩子火種，他們就會燃燒全宇宙》",,"February 6, 2023 4:58 PM","May 1, 2023 10:11 AM",26,imac-fly,83
"我們發現心中的兒童及兒童的衝動仍然在夢中持續存在著。","《夢的解析》",,"February 18, 2023 10:51 PM","February 18, 2023 10:51 PM",28,imac-fly,0
溫暖童年就像含著金湯匙出生，通常可以讓人免於辛苦的未來。,"《哈佛教你幸福一輩子》",,"January 30, 2023 7:22 PM","May 1, 2023 10:11 AM",28,imac-fly,90
"孩童只有在被教導去注意群體差異時才會發展出刻板印象。","《隱性偏見》",,"January 16, 2023 7:25 PM","January 16, 2023 7:25 PM",28,imac-fly,0
我們要以兒童的視角來看待他的處境，以他的錯誤判斷來理解他們。,《阿德勒心理學講義2》,,"July 10, 2022 6:59 PM","July 10, 2022 6:59 PM",30,imac-fly,0
兒童的大腦都有成長與改變的潛能，因此給學生錯誤診斷是很危險的。,《大腦解鎖》,,"April 21, 2022 7:06 PM","May 1, 2023 10:11 AM",31,imac-fly,374
"你一旦過了童年早期，你就擁有了這輩子將會使用到的所有腦細胞。","《身體》",,"March 3, 2023 10:09 AM","March 3, 2023 10:09 AM",32,imac-fly,0
"在我們確實使多數老年人遠離貧窮之際，貧窮的兒童人數卻不斷增加。","《失序的心靈》",,"March 30, 2023 4:16 PM","March 30, 2023 4:16 PM",33,imac-fly,0
"孤獨，卻擁有連結。    這種感受，從童年到現在，一直支撐著我。","《創作的基因》",,"January 15, 2023 11:36 PM","January 15, 2023 11:36 PM",34,imac-fly,0
兒童如果花很多時間拆解東西然後再重組回去，通常能發展出較強的空間能力。,《大腦喜歡這樣學》,,"September 13, 2022 10:48 AM","September 13, 2022 10:48 AM",35,imac-fly,0
夢有時以一種奇異的再現力量，把童年那遙遠的，甚至已經忘掉的事件帶回心中。,《夢的解析》,,"July 10, 2022 11:09 AM","May 1, 2023 10:11 AM",36,imac-fly,294
"從兩三歲開始，兒童的獨立意識開始萌芽，這時候孩子經常會說「我自己做」。","《兒童心理發展與家庭教育智慧》",,"March 29, 2023 3:05 PM","March 29, 2023 3:05 PM",37,imac-fly,0
〈河童〉是寓言，〈齒輪〉是放縱的瘋狂書寫，另外有散文詩般的〈呆瓜的一生〉。,《小說裡的人性羅生門：楊照談芥川龍之介（日本文學名家十講3）》,,"October 12, 2022 9:52 AM","May 1, 2023 10:11 AM",37,imac-fly,201
"若母親通常會考慮兒童的觀點和興趣，孩子也會考慮母親的觀點和興趣並給予回報","《依戀理論三部曲1：依附》",,"April 30, 2023 6:41 PM","April 30, 2023 6:41 PM",38,imac-fly,0
三種靈魂的變形：靈魂如何變形為駱駝、駱駝如何變為獅子，而獅子又如何變為孩童。,《尼采如是說【尼采四傑作精選集】》,,"October 26, 2022 10:46 PM","October 26, 2022 10:46 PM",38,imac-fly,0
"大人的學習就是排除人生中的「不可能」。大人學習的對手，就是童年時期的自己。","《去書店買個好人生》",,"February 4, 2023 10:18 PM","February 4, 2023 10:18 PM",39,imac-fly,0
美國兒科學會（AAP）提倡兩歲以下兒童完全不要有螢幕使用時間（包含電視在內）。,"《誇大不實的醫療迷思》",,"February 4, 2023 11:23 AM","May 1, 2023 10:11 AM",39,imac-fly,85
兒童和母親之間的聯結，最合理的解釋是「雙方共享程序中優先度最高的是依附與照顧」。,"《依戀理論三部曲1：依附》",,"April 30, 2023 6:45 PM","May 1, 2023 10:11 AM",40,imac-fly,0
一個人無論變成幾歲，如果能一直保有創作欲，這個人身上猶如孩童的部分，就始終存在。,《五十後的精采，來自你的行動與渴望》,,"September 27, 2022 11:57 PM","September 27, 2022 11:57 PM",40,imac-fly,0
檢討過去以邁向未來。有時候為了往前邁進，你需要回顧過往。回顧童年往往可以找到自己。,"《人生的行銷企劃書》",,"January 23, 2023 11:07 PM","May 1, 2023 10:11 AM",41,imac-fly,97
"「每個人都有『父母』、『成人』、『兒童』三大分身，三者愈均衡，與幸福的距離愈近。","《家有學前兒：好好表達情緒》",,"April 13, 2023 10:24 PM","April 13, 2023 10:24 PM",42,imac-fly,0
"透過這些童年戰爭，人也在逐漸理解、順從他人的同時，開始學習維護、捍衛自己的東西。","《這是我的，別想碰！》",,"February 3, 2023 1:17 PM","February 3, 2023 1:17 PM",42,imac-fly,0
是時候瞭解你對是非的一切概念都只是兒童的輔助輪可以放到一旁了你終於能與真實與愛相伴而活。,《禮物》,,"April 11, 2022 9:03 PM","April 11, 2022 9:03 PM",44,imac-fly,0
"非快速動眼與快速動眼睡眠的比例在嬰兒期是五比五，在童年期是七比三，青少年期則是八比二。","《睏世代：為何你的孩子總是睡不飽？》",,"April 22, 2023 9:03 PM","April 22, 2023 9:03 PM",45,imac-fly,0
