Name,Description,Note,Created,Last edited time,length,Created by,Days
輕快、開朗、自然。,"《讓孩子心智堅定又自信的10句話》",,"March 29, 2023 11:55 AM","April 27, 2023 3:36 PM",9,imac-fly,29
每天花些時間在大自然行走。,《當摯愛逝去：療癒悲痛與失去的禪修練習》,,"November 24, 2022 3:35 PM","April 9, 2023 4:05 PM",13,imac-fly,136
"沒有事物自然處於靜止狀態。","《人類使用說明書》",,"March 19, 2023 10:44 PM","March 19, 2023 10:44 PM",15,imac-fly,0
完美是違反自然而且有害的概念。,《子彈思考整理術》,,"November 12, 2022 10:25 AM","April 27, 2023 3:36 PM",15,imac-fly,166
放下和再生是大自然運轉的主調。,《僧人心態》,,"June 29, 2022 10:05 AM","June 29, 2022 10:05 AM",15,imac-fly,0
自然的想像力，遠非人類所能及。,《你管別人怎麼想》,,"June 20, 2022 10:15 PM","June 20, 2022 10:15 PM",15,imac-fly,0
"敘事理應順其自然，適可而止。","《酒店開門之前》",,"February 26, 2023 2:21 PM","February 26, 2023 2:21 PM",16,imac-fly,0
真誠、自然的肢體語言和文字表達。,"《跟TED學表達，讓世界記住你》",,"January 27, 2023 1:52 PM","April 27, 2023 3:37 PM",16,imac-fly,90
現代人與自己、他人和自然界疏離。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"July 6, 2022 8:40 AM","April 27, 2023 3:37 PM",16,imac-fly,295
自然不會產生判斷，不需要竭力壓抑。,"《比起喜歡自己，我有更多討厭自己的日子》",,"February 1, 2023 9:12 AM","April 27, 2023 3:37 PM",17,imac-fly,85
當你傷得夠深時，你自然找得到辦法。,《榮格心理學不插電講堂》,,"April 12, 2022 6:51 PM","April 12, 2022 6:51 PM",17,imac-fly,0
資金聚集之處，自然也是人才聚集之處。,"《主席先生》",,"April 24, 2023 9:56 PM","April 27, 2023 3:37 PM",18,imac-fly,2
我們並不高於自然。凡有生者，必有死。,《最後14堂星期二的課（20週年紀念版）》,,"November 3, 2022 10:19 AM","November 3, 2022 10:19 AM",18,imac-fly,0
說不定是大自然的從容讓人類感到絕望。,《重力小丑(2010年新版)》,,"May 25, 2022 1:01 PM","May 25, 2022 1:01 PM",18,imac-fly,0
"我們並不高於自然。凡有生者，必有死。","《最後14堂星期二的課（20週年紀念版）》",,"April 25, 2023 9:53 AM","April 25, 2023 9:53 AM",20,imac-fly,0
花一點時間置身大自然，可以改善你的專注力。,"《Deep Work深度工作力【暢銷新裝版】》",,"March 19, 2023 10:14 PM","April 27, 2023 3:39 PM",21,imac-fly,38
睡眠過程中的自戀是純粹自然的，是潛意識的。,"《睡眠、夢和死亡過程》",,"March 19, 2023 12:06 PM","April 27, 2023 3:39 PM",21,imac-fly,39
"大自然中較強大的物種，視野也比較狹窄，","《朋友與敵人》",,"January 30, 2023 4:18 PM","January 30, 2023 4:18 PM",21,imac-fly,0
人為的主動性到了什麼地步即是「違背自然」？,《內在他者：莊子．尼采》,,"November 28, 2022 10:43 PM","November 28, 2022 10:43 PM",21,imac-fly,0
"自然浮現的東西，總是超越人類淺薄的智慧。","《閱讀孩子的書》",,"March 29, 2023 4:28 PM","March 29, 2023 4:28 PM",22,imac-fly,0
專注於當下的話，自然就會出現與之呼應的未來。,《歡迎光臨夢境百貨》,,"November 11, 2022 9:05 AM","November 11, 2022 9:05 AM",22,imac-fly,0
臣服於現實，是違反生物生存機制的不自然行為。,《無，生命的最佳狀態》,,"October 16, 2022 9:59 AM","January 19, 2023 7:33 PM",22,imac-fly,95
"悲傷是一種痛苦的情緒狀態，會自然地反覆來去","《悲傷的大腦》",,"April 21, 2023 2:30 PM","April 21, 2023 2:30 PM",23,imac-fly,0
大自然邀請你倚偎在她關愛的懷抱，釋放你的痛苦。,《當摯愛逝去：療癒悲痛與失去的禪修練習》,,"November 24, 2022 3:38 PM","November 24, 2022 3:38 PM",23,imac-fly,0
牠們在交配時，總是順應動物的本能，真誠而自然。,《重力小丑(2010年新版)》,,"May 25, 2022 1:02 PM","January 19, 2023 7:34 PM",23,imac-fly,239
只要了解大自然就是我們的家，就不再是流浪之身。,《行動冥想》,,"April 12, 2022 8:06 PM","January 19, 2023 7:38 PM",23,imac-fly,281
"清醒夢是一種完全自然，也絕對安全的意識狀態。","《清醒夢療法》",,"March 2, 2023 1:18 AM","March 2, 2023 1:18 AM",24,imac-fly,0
遷徙不僅是常態，也是大自然讓我們保持健康的方式。,《遊牧世界的市民城市》,,"July 10, 2022 10:34 AM","July 10, 2022 10:34 AM",24,imac-fly,0
母親是我們所來自的家，她是自然，是土壤，是海洋。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 1, 2022 12:58 PM","May 1, 2022 12:58 PM",24,imac-fly,0
只要真實面對您當下的自我，真實的自我便會自然顯現。,"《為什麼要戀愛》",,"February 19, 2023 8:48 PM","February 20, 2023 10:03 AM",25,imac-fly,0
"盧梭則強調兒童的純真狀態，應順其自然發揮天性。","《拚教養》",,"February 17, 2023 1:58 PM","February 17, 2023 1:58 PM",25,imac-fly,0
原來，對農村，對人與大自然有機的互動是普世的鄉愁。,《激流與倒影》,,"December 3, 2022 4:12 PM","April 27, 2023 3:40 PM",25,imac-fly,144
閃躲問題最有效的方式是順其自然，想到什麼就說什麼。,《守密》,,"November 22, 2022 1:31 PM","April 27, 2023 3:40 PM",25,imac-fly,156
每一段關係都尋找著自己的定位，如果妳放手順其自然。,《道德浪女》,,"June 23, 2022 2:12 PM","June 23, 2022 2:12 PM",25,imac-fly,0
大自然不會白費力氣，如果因緣具足，就不會多生枝節。,《T恤上的宇宙：尋找宇宙萬物的終極理論》,,"June 5, 2022 10:49 PM","June 5, 2022 10:49 PM",25,imac-fly,0
有限的不幸就是一個具有感知能力的成年人自然的狀態。,《冬之夢─費茲傑羅短篇傑作選》,,"May 25, 2022 12:42 PM","April 27, 2023 3:40 PM",25,imac-fly,337
你只須注意、觀察，覺察身體的自然運作，這樣就好了。,《Headspace冥想正念手冊》,,"April 24, 2022 8:11 AM","April 24, 2022 8:11 AM",25,imac-fly,0
"我從小學三年級之後，大概都是以睡到自然醒為原則。","《我的99個私抽屜》",,"March 10, 2023 2:12 PM","March 10, 2023 2:12 PM",26,imac-fly,0
"自然變異是生物的重要貯存庫──實是資產而非負債。","《基因》",,"February 16, 2023 9:20 AM","February 16, 2023 9:20 AM",26,imac-fly,0
我們沒有辦法控制自己的感受。情緒本來就會自然冒出來。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 17, 2022 7:14 PM","November 17, 2022 7:14 PM",26,imac-fly,0
呼吸是自然且微微變動的專注對象；它把你拉回此時此地。,《正念》,,"July 10, 2022 9:25 AM","April 27, 2023 3:40 PM",26,imac-fly,291
世界上已經不再有自然造成的饑荒，只有政治造成的饑荒。,《人類大命運》,,"May 20, 2022 12:08 PM","May 20, 2022 12:08 PM",26,imac-fly,0
死亡是不會傳染的。它就和生命一樣自然，它是我們的本然。,"《最後14堂星期二的課（20週年紀念版）》",,"February 12, 2023 10:52 AM","April 27, 2023 3:40 PM",27,imac-fly,74
我們取之於自然，也要回報給自然。他說：「這樣才公平。」,"《最後14堂星期二的課（20週年紀念版）》",,"February 12, 2023 10:47 AM","April 27, 2023 3:41 PM",27,imac-fly,74
大自然其實充滿智慧，為我們量身剪裁了生理學上的束縛衣。,《為什麼要睡覺？》,,"November 12, 2022 8:05 PM","April 27, 2023 3:40 PM",27,imac-fly,165
我的每堂課都包含了三個主要課題：追蹤、自然觀察與覺知。,《追蹤師：松林少年的追尋【TrackerSchool創校40週年紀念版】》,,"July 25, 2022 8:15 AM","April 27, 2023 3:40 PM",27,imac-fly,276
都市生活過得再好，對於人類而言，都是一種不自然的生活。,《深淵居民》,,"April 25, 2022 7:44 AM","April 27, 2023 3:40 PM",27,imac-fly,367
"透過書籍來接觸自然、接觸美麗的事物，就能夠獲得力量。","《療癒身心的書目療法》",,"April 10, 2023 1:15 PM","April 10, 2023 1:15 PM",28,imac-fly,0
在道教中，世界的造物主是母親，這肯定是一個更自然的概念。,"《用英語讀老子《道德經》》",,"March 14, 2023 8:28 PM","April 27, 2023 3:40 PM",28,imac-fly,43
"那愛的開始和後續都相當自然而安穩，輕柔地溫暖著回憶。","《少年》",,"March 5, 2023 3:46 PM","March 5, 2023 3:46 PM",28,imac-fly,0
"你怎麼待人，人家就怎麼待你，這是自然定律，也是人性。","《情緒治療》",,"February 8, 2023 2:57 PM","February 8, 2023 2:57 PM",28,imac-fly,0
"我們認為野性是永久的；但在現實中，自然是受限的變動。","《釋控》",,"February 7, 2023 1:33 PM","February 7, 2023 1:33 PM",28,imac-fly,0
習慣，就是別人做起來那麼彆扭的事情，你可以做得非常自然。,《底層邏輯》,,"December 25, 2022 11:31 AM","December 25, 2022 11:31 AM",28,imac-fly,0
有苦有樂、高低起伏的生活，或許才是最自然、最理想的狀態。,《希望歌德×絕望卡夫卡的人生論》,,"October 26, 2022 2:25 PM","October 26, 2022 2:25 PM",28,imac-fly,0
走進大自然，在那裡親熱。在約會時以任何方法做點特別的事。,《道德浪女》,,"June 28, 2022 10:45 PM","June 28, 2022 10:45 PM",28,imac-fly,0
知識不是反映自然的一面鏡子，而是一道由各種連結組成的網。,《資訊爆炸之後》,,"May 23, 2022 8:44 AM","April 27, 2023 3:41 PM",28,imac-fly,339
口語能力是自然而然出現的，不需要發明。但書寫則需要發明。,《科學大歷史》,,"April 29, 2022 6:47 PM","April 27, 2023 3:41 PM",28,imac-fly,362
必須先掌握自然與人類之間的關係，才能看見歷史真正的樣貌。,《名作要從最後一句開始讀》,,"April 16, 2022 4:05 PM","April 16, 2022 4:05 PM",28,imac-fly,0
在生活中自然培養出來的自信，終究也會讓孩子對讀書產生幹勁。,"《讓孩子心智堅定又自信的10句話》",,"March 29, 2023 11:53 AM","April 27, 2023 3:41 PM",29,imac-fly,29
當現代性在大自然的領域裡自由奔放地發展，時間可以重新開始。,"《計時簡史》",,"March 1, 2023 11:31 AM","April 27, 2023 3:41 PM",29,imac-fly,57
"對人類而言，疾病和疼痛是不自然的，是因為選錯道路所致。","《生產，本該無傷》",,"February 13, 2023 2:02 PM","February 13, 2023 2:02 PM",29,imac-fly,0
開悟只是一種自然而至的狀態，一種讓人感受到與本體合一的狀態,《當下的力量（全新紀念版）》,,"December 25, 2022 11:20 PM","December 25, 2022 11:20 PM",29,imac-fly,0
發揮創意，小心地跨出一步，直到自然而然變成更大更新的步伐。,《創作，是心靈療癒的旅程》,,"December 16, 2022 12:23 AM","December 16, 2022 12:23 AM",29,imac-fly,0
不論在一年中何時，自然漫步都比在都市走路有助於注意力提升。,《強大內心的自我對話習慣》,,"October 30, 2022 8:07 AM","March 27, 2023 4:02 PM",29,imac-fly,148
唯有體察自然之道、熟悉自然產物的人，才能因此感到賞心悅目。,《沉思錄》,,"September 16, 2022 6:50 PM","September 16, 2022 6:50 PM",29,imac-fly,0
白天少使用酒、咖啡、少抽菸，多做點運動讓晚上自然感到疲倦。,《好睡：新的睡眠科學與醫學》,,"July 8, 2022 8:43 PM","July 8, 2022 8:43 PM",29,imac-fly,0
在潛意識的世界裡，透過有選擇的提供，會自然的讓心自由了起來。,"《一字一句，靠近潛意識》",,"February 9, 2023 12:20 PM","April 27, 2023 3:41 PM",30,imac-fly,77
發展是一種自然的趨勢，隨著年齡的增長，人們會越來越想做自己。,"《直說無妨：非常關係2【相知相愛紀念版】》",,"January 29, 2023 2:05 PM","April 27, 2023 3:41 PM",30,imac-fly,88
我自己並不多想，但在我不思考時，形形色色的事物都會自然降臨。,"《她們的創作日常》",,"January 25, 2023 10:29 AM","April 27, 2023 3:42 PM",30,imac-fly,92
第三個常見的錯誤自然就是把所有筆記都當成是臨時性的靈感筆記。,《卡片盒筆記》,,"December 11, 2022 2:07 PM","December 11, 2022 2:07 PM",30,imac-fly,0
在自己身上的痛苦、不幸與不公平，看成生命中極為自然的一部分。,《讓尼采當你的心理師》,,"April 11, 2022 2:44 PM","April 27, 2023 3:42 PM",30,imac-fly,381
"良好的態度讓人更容易保持正向，而且不久之後就會習慣成自然。","《善待他人，也不委屈自己》",,"April 12, 2023 9:29 PM","April 12, 2023 9:29 PM",31,imac-fly,0
"沒有刻意去聽卻聽見大自然的聲音，這種「安靜」就是「靜寂」。","《人與人的完美距離》",,"March 29, 2023 9:22 AM","March 29, 2023 9:22 AM",31,imac-fly,0
"鼓勵孩子記憶的方法很多，最自然的一種就是透過問問題來引導。","《教孩子跟情緒做朋友：不是孩子不乖，而是他的左右腦處於分裂狀態！》",,"February 18, 2023 11:22 AM","February 18, 2023 11:22 AM",31,imac-fly,0
"一旦你放掉依戀心、嗔恨心、自大心，禪定就成了你自然的狀態。","《大師在喜馬拉雅山》",,"February 15, 2023 10:42 PM","February 15, 2023 10:42 PM",31,imac-fly,0
疾病自然史的變化，是連續性而非間歇性的，它的分期只是隨意而定。,《因果螺旋》,,"October 16, 2022 8:16 PM","October 16, 2022 8:16 PM",31,imac-fly,0
人不應該附和所有人的觀點，只需要尊重順應自然而活的人說了什麼。,《沉思錄》,,"September 16, 2022 6:52 PM","September 16, 2022 6:52 PM",31,imac-fly,0
在中國哲學與亞洲文明的傳統裡，人與自然一直是相屬的連續存有物。,《病腦啟示》,,"May 12, 2022 6:59 PM","April 27, 2023 3:42 PM",31,imac-fly,349
若你的心智總是從一個思緒奔向另一個思緒，專注力自然被嚴重削弱。,《Headspace冥想正念手冊》,,"April 15, 2022 12:28 PM","April 15, 2022 12:28 PM",31,imac-fly,0
"只要行為正直，保持覺知，我們的藝術自然會綻放，根本無需談論。","《橘子禪》",,"April 16, 2023 11:24 PM","April 16, 2023 11:24 PM",32,imac-fly,0
因為光，我們可以在所有想像得到的時間尺度與距離尺度裡觀察自然界。,"《【牛津通識課．宇宙篇】光》",,"April 11, 2023 3:30 PM","April 27, 2023 3:42 PM",32,imac-fly,16
"他們明白不確定性是生命中自然存在的一部分，並準備好與其共存。","《自信的躍進》",,"February 8, 2023 3:34 PM","February 8, 2023 3:34 PM",32,imac-fly,0
去感受你的內在身體，特別是在生活中，與人互動或親近大自然的時候。,《當下的力量（全新紀念版）》,,"November 29, 2022 6:27 PM","April 27, 2023 3:42 PM",32,imac-fly,148
住在森林裡的人以森林為食，住在城市裡的人吃城市度日再自然也不過。,《生命式》,,"November 27, 2022 3:34 PM","April 27, 2023 3:42 PM",32,imac-fly,151
專注於呼吸是重要的解藥，能夠調整我們自認必須掌控一切的自然傾向。,《正念》,,"July 10, 2022 9:28 AM","July 10, 2022 9:28 AM",32,imac-fly,0
跟隨一個相信靈感自然迸發的人真的很辛苦，助理從來沒有機會看取景器,《卡提耶-布列松》,,"May 25, 2022 1:30 PM","January 19, 2023 7:59 PM",32,imac-fly,239
道很單純，其餘都是複雜的。不要在相對的自然界裡，尋找絕對的真理。,《一個瑜伽行者的自傳（台灣原生譯本，無刪節完整版，修訂四版）》,,"May 15, 2022 9:58 PM","May 15, 2022 9:58 PM",32,imac-fly,0
自然界中能走遍五湖四海，分布到世界每一個角落的物種，只有人和螞蟻。,"《丈量人類世》",,"April 11, 2023 1:17 PM","April 27, 2023 3:42 PM",33,imac-fly,16
"如果人能夠清理自己的內在汙染，自然就會停止製造一切外在汙染了。","《當下的力量（全新紀念版）》",,"February 1, 2023 4:08 PM","February 1, 2023 4:08 PM",33,imac-fly,0
它是有方法、有策略的，「帶點心機、自然展現、大方無私、真心相處」。,"《別自個兒用餐》",,"January 27, 2023 11:58 AM","April 27, 2023 3:42 PM",33,imac-fly,90
憂鬱通常讓人覺得似乎是憑空而生，而悲傷則是人面對失落產生的自然反應。,"《悲傷的大腦》",,"April 21, 2023 2:10 PM","April 27, 2023 3:42 PM",34,imac-fly,6
在資本主義底下，永續的成長是不可能的，只會不斷加強對自然的掠奪而已。,"《人類世的「資本論」》",,"April 19, 2023 11:04 PM","April 27, 2023 3:42 PM",34,imac-fly,7
