Name,Description,Note,Created,Last edited time,length,Created by,Days
享受痛苦！,《人生給的答案Ⅰ》,,"November 8, 2022 7:06 PM","November 8, 2022 7:06 PM",5,imac-fly,0
養成擁抱痛苦的習慣。,《原則》,,"November 14, 2022 2:46 PM","April 28, 2023 1:31 PM",10,imac-fly,164
喜悅不等於沒有痛苦。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 9, 2022 12:40 PM","April 28, 2023 1:31 PM",10,imac-fly,170
痛為難免，苦是自取。,《最後一次相遇，我們只談喜悅》,,"June 5, 2022 12:47 PM","April 28, 2023 1:31 PM",10,imac-fly,327
痛苦才是活著的證據。,《讓尼采當你的心理師》,,"April 11, 2022 2:45 PM","April 28, 2023 1:31 PM",10,imac-fly,381
"人生苦短，何苦委屈。","《一週工作4小時【全新增訂版】》",,"January 29, 2023 8:25 AM","January 29, 2023 8:25 AM",12,imac-fly,0
因為有苦，你才覺察到有樂。,《一行禪師講《心經》》,,"November 25, 2022 2:47 PM","November 25, 2022 2:47 PM",13,imac-fly,0
痛苦具有令我們成長的力量。,《過得還不錯的人生》,,"September 21, 2022 2:36 PM","April 28, 2023 1:31 PM",13,imac-fly,218
要記得：痛苦＋反省＝進步。,《原則》,,"June 20, 2022 3:00 PM","June 20, 2022 3:00 PM",13,imac-fly,0
痛苦的深淵，能造就喜悅的高峰。,《最後一次相遇，我們只談喜悅》,,"May 3, 2022 10:11 AM","April 28, 2023 1:31 PM",15,imac-fly,360
太自我中心的想法，是痛苦的溫床。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 1, 2022 12:13 PM","November 1, 2022 12:13 PM",16,imac-fly,0
對抗痛苦的祕訣就是──痛苦本身。,《尼采如是說【尼采四傑作精選集】》,,"October 26, 2022 10:44 PM","October 26, 2022 10:44 PM",16,imac-fly,0
痛苦的夢和焦慮的夢也是願望的實現。,"《夢的解析》",,"March 2, 2023 6:52 PM","April 5, 2023 9:22 AM",17,imac-fly,33
"閱讀能夠與自己痛苦的經驗溝通。","《去書店買個好人生》",,"January 16, 2023 2:24 PM","January 16, 2023 2:24 PM",17,imac-fly,0
第一聖諦是苦。修習佛法先要覺知苦。,《一行禪師講《心經》》,,"November 25, 2022 2:35 PM","November 25, 2022 2:35 PM",17,imac-fly,0
學習以開放好奇的態度面對痛苦感受。,《正念》,,"October 31, 2022 3:24 PM","April 27, 2023 3:29 PM",17,imac-fly,178
如果人類並未用盡千年書寫愛的痛苦。,遑論愛的信念消失後引發的失去自我,,"October 10, 2022 10:00 PM","April 28, 2023 1:31 PM",17,imac-fly,199
想法太過自我中心，是很多痛苦的起因。,《最後一次相遇，我們只談喜悅》,,"June 25, 2022 12:38 PM","April 28, 2023 1:31 PM",18,imac-fly,307
痛苦對人造成的打擊，會使人放下傲慢。,《最後一次相遇，我們只談喜悅》,,"May 3, 2022 10:10 AM","May 3, 2022 10:10 AM",18,imac-fly,0
"有趣的是，似乎只有人類會自討苦吃。","《疼痛大解密》",,"April 20, 2023 1:12 PM","April 20, 2023 1:12 PM",19,imac-fly,0
教導的全部藝術在於做到讓孩子願意吃苦。,"《論教育》",,"April 5, 2023 1:11 AM","April 28, 2023 1:31 PM",19,imac-fly,23
沒有什麼比合理化自身痛苦更難受的事了。,"《在都市窩居10年，我過得還不錯》",,"February 15, 2023 10:04 AM","April 28, 2023 1:31 PM",19,imac-fly,72
"痛苦的時候不要找人取暖，去讀書吧！","《去書店買個好人生》",,"February 4, 2023 10:19 PM","February 4, 2023 10:19 PM",19,imac-fly,0
認同於過去使你無法瓦解自己的痛苦之身。,《當下的力量（全新紀念版）》,,"October 4, 2022 9:53 AM","October 4, 2022 9:53 AM",19,imac-fly,0
接受人生中所有痛苦、遺憾與美好的能力。,《最後一次相遇，我們只談喜悅》,,"June 21, 2022 3:40 PM","June 21, 2022 3:40 PM",19,imac-fly,0
選擇用「挑戰」來取代「艱辛」或「痛苦」。,"《如何成為不完美主義者》",,"April 4, 2023 3:49 PM","April 28, 2023 1:32 PM",20,imac-fly,23
為自己正在受苦的那部分，給予慈悲與慰藉。,"《請用正念疼惜自己》",,"February 2, 2023 9:57 AM","April 28, 2023 1:32 PM",20,imac-fly,85
源於無明的恐懼或仇恨，都會擴大你的痛苦。,《佛陀之心》,,"November 24, 2022 4:05 PM","April 28, 2023 1:32 PM",20,imac-fly,154
當人內心喜樂，肉體的苦痛就顯得不重要了。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"September 29, 2022 8:08 PM","September 29, 2022 8:08 PM",20,imac-fly,0
要讓人凝聚在一起，靠尖酸挖苦不可能有用。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 9:13 AM","April 28, 2023 1:32 PM",20,imac-fly,366
有痛苦的經驗照亮，快樂的本質才顯得澄明。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 9:10 AM","April 28, 2023 12:46 PM",20,imac-fly,366
"如果你很痛苦，就停止囤積你的生命能量。","《歐普拉人生指南：讓生命重新開機》",,"February 6, 2023 2:25 PM","February 6, 2023 2:25 PM",21,imac-fly,0
能夠有效消除痛苦的策略，是思考侮辱的來源。,"《善用悲觀的力量：培養逆境抵抗力，放大簡單的快樂，打破不滿足的慣性》",,"January 26, 2023 9:54 PM","April 28, 2023 1:32 PM",21,imac-fly,91
