Name,Description,Note,Created,Last edited time,length,Created by,Days
感恩、洞見、靜心、運動。,《僧人心態》,,"October 6, 2022 2:21 PM","May 2, 2023 3:11 PM",12,imac-fly,208
運動、探索、放鬆、滋養和連結。,《大腦韌性》,,"April 22, 2022 10:08 AM","May 2, 2023 3:11 PM",15,imac-fly,375
運動性更普遍地和內在的風元素相關。,"《睡眠、夢和死亡過程》",,"March 19, 2023 12:07 PM","May 2, 2023 3:11 PM",17,imac-fly,44
性不是運動，應該說，性更接近戲劇。,《拋掉書本上街去》,,"November 14, 2022 4:07 PM","November 14, 2022 4:07 PM",17,imac-fly,0
若訴諸暴力回應，只會讓運動敗得更慘。,"《憤怒與希望》",,"March 11, 2023 2:30 PM","May 2, 2023 3:11 PM",18,imac-fly,52
運動員應該努力做到每晚睡八到十小時。,《運動健護全書》,,"May 14, 2022 9:50 AM","April 28, 2023 12:34 PM",18,imac-fly,349
"做母親，幾乎就是一項競技運動項目。","《為什麼我們不想生》",,"January 16, 2023 2:11 PM","January 16, 2023 2:11 PM",19,imac-fly,0
光速永遠是一樣的，與觀察者的運動無關。,《T恤上的宇宙：尋找宇宙萬物的終極理論》,,"June 5, 2022 10:45 PM","May 2, 2023 3:11 PM",19,imac-fly,330
日光、綠意，加上運動是最棒的三位一體。,《跨感官心理學》,,"April 14, 2022 12:58 PM","April 14, 2022 12:58 PM",19,imac-fly,0
"自我意識一直都是重大社會運動的特徵。","《憤怒與希望》",,"March 11, 2023 2:27 PM","March 11, 2023 2:27 PM",20,imac-fly,0
"只要有週期運動，任何東西都可做為時鐘。","《時間，原來是這樣》",,"March 2, 2023 9:48 PM","March 2, 2023 9:48 PM",21,imac-fly,0
有時候思考是一種戶外運動，還需要身體力行。,"《男言之癮》",,"February 8, 2023 11:55 AM","March 26, 2023 5:18 PM",21,imac-fly,46
透過運動來抗壓，實際上是在降低皮質醇濃度。,《真正的快樂處方》,,"December 9, 2022 11:04 PM","May 2, 2023 3:11 PM",21,imac-fly,143
6秒以下的運動速度，有最佳的肌力增強效果。,《用最正確的科學觀點1人健身》,,"November 2, 2022 4:01 PM","November 2, 2022 4:01 PM",21,imac-fly,0
要解鎖你的運動潛能，你必須先當個健康的人。,《運動健護全書》,,"May 14, 2022 9:49 AM","May 2, 2023 3:11 PM",21,imac-fly,353
我能以這個方法持續運動多久？才是較為妥當的。,《健身毀了我身體(暢銷慶功版)》,,"November 14, 2022 4:25 PM","May 2, 2023 3:12 PM",22,imac-fly,168
增強肌力的效果＝訓練強度×運動速度×每週頻率,《用最正確的科學觀點1人健身》,,"June 15, 2022 5:35 PM","June 15, 2022 5:35 PM",22,imac-fly,0
現慢速中距離跑者死亡率比缺乏運動的人低30％。,"《天生不愛動》",,"January 31, 2023 1:28 PM","May 2, 2023 3:12 PM",23,imac-fly,91
運動者的大腦會變得跟小孩的大腦一樣充滿可塑性。,《真正的快樂處方》,,"December 9, 2022 11:08 PM","May 2, 2023 3:12 PM",23,imac-fly,143
運動是一種掌握哀傷的方法，平息不了就加以掌控。,《在阿爾卑斯山與尼采相遇》,,"October 27, 2022 1:18 PM","October 27, 2022 1:18 PM",23,imac-fly,0
如果想克服焦慮和擔憂，就需要進行更激烈的運動。,《真正的快樂處方》,,"July 24, 2022 12:57 PM","July 24, 2022 12:57 PM",23,imac-fly,0
在非暴力運動中，有一個成分是不可或缺的：自制。,《人慈》,,"May 22, 2022 9:27 AM","May 22, 2022 9:27 AM",23,imac-fly,0
配合自己的體能，不做過分的運動，但要持之以恆。,《活化大腦的15個習慣》,,"May 12, 2022 3:46 PM","May 12, 2022 3:46 PM",23,imac-fly,0
"激烈運動（無論是戰是逃）比辨識組織傷害重要。","《疼痛大解密》",,"April 20, 2023 1:16 PM","April 20, 2023 1:16 PM",24,imac-fly,0
"在個體層次上，社會運動是一種情緒轉變的過程。","《憤怒與希望》",,"March 11, 2023 2:34 PM","March 11, 2023 2:34 PM",24,imac-fly,0
除了男人在動之外，妳也可以做反方向的運動來回應。,《性愛的科學》,,"October 8, 2022 1:57 PM","May 2, 2023 3:12 PM",24,imac-fly,206
偶爾做些改變，好好體驗各式各樣的飲食和運動計畫。,《健身，也健心》,,"September 29, 2022 1:08 PM","September 29, 2022 1:08 PM",24,imac-fly,0
為了對抗焦慮，你至少每週應該運動到筋疲力盡一次。,《真正的快樂處方》,,"September 17, 2022 9:05 PM","April 5, 2023 9:28 AM",24,imac-fly,199
吃喝玩樂、聊天、運動，建立許多讀書以外的交流場合。,"《讓孩子心智堅定又自信的10句話》",,"March 29, 2023 11:51 AM","April 28, 2023 12:06 PM",25,imac-fly,30
運動時攝取大量碳水化合物將會抑制人體的抗發炎反應。,《天生不愛動》,,"June 22, 2022 6:09 PM","June 22, 2022 6:09 PM",25,imac-fly,0
因為感覺自己太忙碌的人，比較不會去運動或均衡飲食。,《失控的努力文化》,,"June 2, 2022 4:01 PM","June 2, 2022 4:01 PM",25,imac-fly,0
間歇性的有氧運動特別適合消除腹部和覆蓋內臟的脂肪。,《美國第一健身強人科學化鍛鍊全書》,,"May 14, 2022 9:49 AM","May 2, 2023 3:12 PM",25,imac-fly,353
激起有益的憤怒與政治運動，進一步推升激進平等的思想。,"《槍炮、船艦與筆墨》",,"April 19, 2023 10:12 PM","May 2, 2023 3:12 PM",26,imac-fly,12
能量流速快的人與靈魂，能透過音樂、舞蹈、運動等興趣。,"《靈界運作》",,"March 8, 2023 2:13 PM","May 2, 2023 3:13 PM",26,imac-fly,55
慢跑時，還必須穿上三件運動胸罩，為十磅重的乳房防震。,《乳房的歷史》,,"December 2, 2022 4:13 PM","May 2, 2023 3:13 PM",26,imac-fly,150
舞蹈家必須兼具運動家的體能技術，以及詩人的敏感與瘋狂。,《高處眼亮：林懷民舞蹈歲月告白》,,"May 26, 2022 8:36 PM","April 27, 2023 3:07 PM",27,imac-fly,335
"在從前，這樣的幫手叫做老婆。都怪女權運動跳進來掃興。","《科技×愛×12則奇思妙想【英國才女作家珍奈．溫特森最新散文集】》",,"March 27, 2023 7:51 PM","March 27, 2023 7:51 PM",28,imac-fly,0
