Name,Description,Note,Created,Last edited time,length,Created by,Days
花錢之痛＝時間＋注意力。,《金錢心理學》,,"July 17, 2022 9:16 AM","July 17, 2022 9:16 AM",12,imac-fly,0
愈是膚淺的人，愈會被錢吸引。,《種族滅絕》,,"October 3, 2022 1:33 PM","October 3, 2022 1:33 PM",14,imac-fly,0
能改變生活的錢，我捐給社區了。,"《不當媽會怎樣？》",,"January 24, 2023 8:02 PM","April 28, 2023 1:21 PM",15,imac-fly,93
最容易讓我們迷失的，往往是金錢。,"《底層邏輯》
",,"January 12, 2023 4:12 PM","April 28, 2023 1:21 PM",16,imac-fly,105
有錢人專注於機會。窮人專注於障礙。,《有錢人想的和你不一樣》,,"November 19, 2022 5:31 PM","January 12, 2023 1:38 PM",17,imac-fly,53
「信任」正是所有金錢最基本的原料。,《人類大歷史》,,"June 3, 2022 12:37 PM","June 3, 2022 12:37 PM",17,imac-fly,0
你若不關心錢的去處，它就會跑錯路。,《人生路引》,,"April 24, 2022 7:51 AM","April 24, 2022 7:51 AM",17,imac-fly,0
你要做的是累積資產，讓資產付錢給你。,《無限投資學》,,"April 20, 2022 5:52 PM","April 28, 2023 1:21 PM",18,imac-fly,372
私鑰用來花錢，公鑰用來證明錢的所有權。,"《比特幣精粹》",,"February 6, 2023 11:32 PM","April 28, 2023 1:21 PM",19,imac-fly,80
常有錢的人說，他不在乎自己的絕對財富。,"《蘋果橘子創意百科》",,"January 31, 2023 1:37 PM","April 28, 2023 1:21 PM",19,imac-fly,86
政府想用最簡單的方式摧毀媒體，就是錢。,《自由未竟》,,"November 6, 2022 5:23 PM","November 6, 2022 5:23 PM",19,imac-fly,0
父母手頭有錢，所以小孩不得不順從大人。,《自由》,,"November 6, 2022 8:45 AM","April 28, 2023 1:21 PM",19,imac-fly,173
但現在，我們必須接受「金錢就是時間」。,《過得還不錯的人生》,,"September 21, 2022 2:40 PM","April 28, 2023 1:22 PM",19,imac-fly,218
"有錢人深知「因果報應」的理論而行動。","《不生氣之後，變身有錢人》",,"January 29, 2023 1:49 PM","January 29, 2023 1:49 PM",20,imac-fly,0
掌控你的時間，就是金錢付給你最高的紅利。,《致富心態》,,"May 9, 2022 12:00 PM","May 9, 2022 12:00 PM",20,imac-fly,0
捨離的程度越大，就越容易放下我們的時間和金錢。,《僧人心態》,,"October 30, 2022 2:29 PM","April 28, 2023 1:21 PM",23,imac-fly,179
弄清楚多少錢會落在你手裡，多少錢會流向消費者。,《窮查理的普通常識（增修版）》,,"June 20, 2022 8:08 PM","June 20, 2022 8:08 PM",23,imac-fly,0
幸福不存在於力量和金錢中，它藏在正義與各種事中。,"《心流（繁體中文唯一全譯本，二版）》",,"March 19, 2023 1:00 PM","April 28, 2023 1:12 PM",24,imac-fly,40
有錢人很會管理他們的錢。　　窮人很會搞丟他們的錢。,《有錢人想的和你不一樣》,,"November 19, 2022 5:39 PM","November 19, 2022 5:39 PM",25,imac-fly,0
有錢人專注於自己的淨值。窮人專注於自己的工作收入。,《有錢人想的和你不一樣》,,"November 19, 2022 5:39 PM","April 28, 2023 1:22 PM",25,imac-fly,159
有錢人選擇根據結果拿酬勞。窮人選擇根據時間拿酬勞。,《有錢人想的和你不一樣》,,"November 19, 2022 5:38 PM","April 28, 2023 1:22 PM",25,imac-fly,159
"要買到同一個東西，排第一名的人通常要多付一點錢。","《必然：掌握形塑未來30年的12科技大趨力》",,"February 7, 2023 1:19 PM","February 7, 2023 1:19 PM",26,imac-fly,0
一樣東西如果不用錢的話（包括健保），人們會過度使用。,"《蘋果橘子創意百科》",,"January 31, 2023 1:33 PM","April 28, 2023 1:22 PM",26,imac-fly,86
無論你對金錢與健康是否感興趣，它們都會影響你的生活。,《致富心態》,,"November 28, 2022 8:35 PM","November 28, 2022 8:35 PM",26,imac-fly,0
太多錢買電子產品，就不要再看介紹最新科技商品的文章。,《原子習慣》,,"July 5, 2022 1:25 PM","April 28, 2023 1:22 PM",26,imac-fly,296
中產階級相對有錢有閒，所以會比較有本錢注重吃喝與休閒。,"《大英暗黑料理大全》
",,"January 5, 2023 4:53 PM","April 3, 2023 5:10 PM",27,imac-fly,88
聚在一起喝兩小時的茶，我們沒有賺到錢，但是賺到了生命。,《我真正的家，就在當下》,,"November 25, 2022 2:14 PM","November 25, 2022 2:14 PM",27,imac-fly,0
有錢人玩金錢遊戲是為了贏。窮人玩金錢遊戲是為了不要輸。,《有錢人想的和你不一樣》,,"September 14, 2022 8:06 PM","April 28, 2023 12:07 PM",27,imac-fly,225
人們一點都不痛恨金錢。他們只是痛恨有錢的王八蛋們而已。,《這些話，為什麼這麼有哏？！》,,"June 11, 2022 5:36 PM","June 11, 2022 5:36 PM",27,imac-fly,0
"睡眠和在銀行存錢不一樣，你欠下的債無法在往後補回來。","《為什麼要睡覺？》",,"February 21, 2023 9:35 AM","February 21, 2023 9:35 AM",28,imac-fly,0
"錢幣即便毀損，它們依舊承載著主權、領土與價值的歷史。","《數位貨幣烏托邦》",,"February 7, 2023 12:03 AM","February 7, 2023 12:03 AM",28,imac-fly,0
你若不關心自己捐出去的錢可能發生什麼事，那就會發生壞事。,《人生路引》,,"April 24, 2022 7:54 AM","April 24, 2022 7:54 AM",28,imac-fly,0
"這些事花時間卻不用花錢。記住，時間才是神聖無比的奉獻。","《創作，是心靈療癒的旅程》",,"February 7, 2023 10:22 AM","February 7, 2023 10:22 AM",29,imac-fly,0
"他得到的報酬或許是監獄裡最值錢的一種錢幣：單純的善意。","《四季》",,"February 3, 2023 12:25 PM","February 3, 2023 12:25 PM",29,imac-fly,0
在考慮到關係和金錢的相對重要性時，很明顯地，關係更為重要。,"《原則》
",,"January 5, 2023 1:55 PM","April 28, 2023 1:22 PM",29,imac-fly,112
他們說，時間就是金錢。奇怪的是，他們越是有錢，時間就越少。,《拋掉書本上街去》,,"November 14, 2022 4:09 PM","November 14, 2022 4:09 PM",29,imac-fly,0
在那之前，能酗酒代表你屬於金字塔的頂層，沒錢你還酗不起酒。,《傷風敗俗文化史》,,"July 12, 2022 7:46 PM","July 12, 2022 7:46 PM",29,imac-fly,0
"有錢並不能解決我所有的問題──它只解決了一個問題：缺錢。","《祝你今年快樂》",,"January 25, 2023 11:18 AM","January 25, 2023 11:18 AM",30,imac-fly,0
有錢人欣賞其他的有錢人和成功人士。窮人討厭有錢人和成功人士。,《有錢人想的和你不一樣》,,"November 19, 2022 5:31 PM","April 28, 2023 1:22 PM",30,imac-fly,159
無論你多有錢，都買不起腹肌。」無論是誰都必須付出相同的努力，,《只要我能跑，沒什麼不能解決的》,,"October 3, 2022 10:33 AM","October 3, 2022 10:33 AM",30,imac-fly,0
所謂的興趣就是「付錢，然後準備失敗」，所以大可不用在乎結果。,《家人使用說明書》,,"July 24, 2022 12:42 PM","April 28, 2023 1:23 PM",30,imac-fly,278
重點不在於發配金錢，而在於「使人人都能參與社會與經濟生活」。,《社會主義快來吧！》,,"May 9, 2022 10:23 PM","April 28, 2023 1:22 PM",30,imac-fly,353
米奇，我指的不是錢，我指的是你的時間、你的關懷、你的報導才能。,"《最後14堂星期二的課（20週年紀念版）》",,"April 25, 2023 10:01 AM","April 28, 2023 1:22 PM",31,imac-fly,3
不少病人出身良好，家中很有錢，但有錢並未給他們帶來快樂或滿足。,"《最後14堂星期二的課（20週年紀念版）》",,"April 25, 2023 9:51 AM","April 28, 2023 1:22 PM",31,imac-fly,3
真正的致富之道其實是，只花你擁有的錢，以及不花你不曾擁有的錢。,《致富心態》,,"November 11, 2022 11:03 PM","April 28, 2023 1:23 PM",31,imac-fly,167
民眾賺到足夠的錢滿足需求後，只會找到新的需求，渴望新的生活方式。,"《人生4千個禮拜》
",,"January 5, 2023 2:17 PM","April 28, 2023 1:23 PM",32,imac-fly,112
用錢來拿回時間的掌控權，因為無法掌控自己的時間會嚴重影響幸福感。,《致富心態》,,"December 21, 2022 2:16 PM","December 21, 2022 2:16 PM",32,imac-fly,0
在專業領域聽過最糟的建議？「即使你不喜歡，但為了錢還是要去做。」,《人生給的答案Ⅱ》,,"November 20, 2022 11:32 AM","April 28, 2023 1:22 PM",32,imac-fly,159
有錢人樂意宣傳自己和自己的價值觀。窮人把推銷和宣傳看成不好的事。,《有錢人想的和你不一樣》,,"November 19, 2022 5:31 PM","April 28, 2023 1:23 PM",32,imac-fly,159
賺錢並非工作的全部，能夠全心投入自己喜歡的事物，已經是一種幸福。,《我喜歡工作，如果可以，不上班的工作更好》,,"November 3, 2022 9:16 AM","November 3, 2022 9:16 AM",32,imac-fly,0
