Name,Description,Note,Created,Last edited time,length,Created by,Days
擴大工作記憶容量：冥想。,《極度專注力》,,"April 26, 2022 10:21 AM","May 4, 2023 9:55 PM",12,imac-fly,373
冥想還能減少你對睡眠的需求。,《冥想【全球暢銷20年經典版】：認識內在自我，與外在世界和諧共處，獲得真正的滿足》,,"April 13, 2022 10:30 AM","April 28, 2023 12:34 PM",14,imac-fly,380
冥想多久不重要，重要的是天天冥想。,《極度專注力》,,"April 26, 2022 10:22 AM","April 26, 2022 10:22 AM",17,imac-fly,0
冥想中最重要的一點，就是完全地挺直脊柱。,《冥想【全球暢銷20年經典版】：認識內在自我，與外在世界和諧共處，獲得真正的滿足》,,"September 11, 2022 1:34 PM","May 4, 2023 9:56 PM",20,imac-fly,235
定期冥想可能有助於提升後設認知和自我覺察。,"《高階覺察》",,"January 18, 2023 4:37 PM","May 4, 2023 9:56 PM",21,imac-fly,106
人生最棒的投資就是睡覺、冥想、散步和健身。,《人生給的答案Ⅰ》,,"November 8, 2022 7:10 PM","February 2, 2023 11:52 AM",21,imac-fly,85
冥想就是練習忽略分心事物，將注意力集中於當下。,《更快樂的1小時》,,"December 14, 2022 3:45 PM","December 14, 2022 3:45 PM",23,imac-fly,0
我推薦給初學者的兩種改變意識的做法是冥想與擊鼓。,"《祖先療癒》",,"April 9, 2023 4:48 PM","April 10, 2023 4:00 PM",24,imac-fly,0
三種冥想的核心練習要素（專注、仁慈、開放的覺察）。,"《覺察：通往身心靈整合的科學冥想練習》",,"March 15, 2023 6:34 PM","April 27, 2023 3:30 PM",25,imac-fly,42
冥想並未改變他的感覺，但改變了他對那些感覺的體驗。,《Headspace冥想正念手冊》,,"July 15, 2022 9:09 AM","May 4, 2023 9:56 PM",25,imac-fly,293
"如同佛陀的忠告：「在所有冥想中，冥想死亡是最重要的。」","《過得還不錯的一年【10週年紀念版】》",,"March 26, 2023 6:43 PM","March 26, 2023 6:43 PM",29,imac-fly,0
冥想的另一個好處是，親自體驗與宇宙生命能量合而為一的感受。,"《我「決定」活到120歲》",,"February 20, 2023 10:51 AM","May 4, 2023 2:34 PM",29,imac-fly,73
壓力、冥想、睡眠、運動和懷孕都是會影響表觀遺傳的幾種內在情況。,《逆轉疾病的科學食療聖經》,,"July 6, 2022 7:08 PM","July 6, 2022 7:08 PM",31,imac-fly,0
正念冥想是一種完全處於當下的練習，充分意識到自己和周圍的環境。,《一流的人如何保持顛峰》,,"May 2, 2022 2:47 PM","May 2, 2022 2:47 PM",31,imac-fly,0
我們可以透過自我對話和靜心冥想，發現心智的本質，學習緩和情緒反應,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"December 26, 2022 11:34 AM","December 26, 2022 11:34 AM",32,imac-fly,0
準備打坐冥想或即將肩負重大任務之前，他們也會時時檢視自己的意念。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 8:46 AM","April 27, 2022 8:46 AM",32,imac-fly,0
冥想時要意識著「呼吸」唯一能有目的地控制自律神經的手段，就是呼吸。,"《縮時睡眠 用最短時間消解疲倦》",,"March 22, 2023 4:36 PM","May 4, 2023 9:56 PM",33,imac-fly,43
研究顯示，只要想到度假就會讓你開心！冥想一段夏威夷之旅，我們來囉！,《選3哲學：聚焦3件事，解決工作生活兩難，搞定你的超載人生》,,"September 23, 2022 7:40 PM","September 23, 2022 7:40 PM",33,imac-fly,0
我初次聽到「靜坐冥想只不過是日常心智的快照」時，難以相信這個概念。,《Headspace冥想正念手冊》,,"April 24, 2022 8:32 AM","May 4, 2023 9:57 PM",33,imac-fly,375
學習優濟大師的超覺靜坐，冥想能解決痛苦，帶來喜悅和成就感。真的超棒！,《人生給的答案Ⅱ》,,"November 20, 2022 11:30 AM","November 20, 2022 11:30 AM",34,imac-fly,0
如果你繼續靜坐冥想，你會開始更早看到那個洞，然後能夠採取躲避的行動。,《Headspace冥想正念手冊》,,"April 20, 2022 3:30 PM","May 4, 2023 9:57 PM",34,imac-fly,379
分析發現冥想課程能幫助對付與壓力相關的症狀，不過效力和其他干預差不多。,"《老到可以死》",,"March 30, 2023 12:37 PM","May 4, 2023 9:56 PM",35,imac-fly,35
"引導冥想的暖暖柔柔的說，是為了承接辛苦、為了擁抱掙扎、為了滋養照顧。","《陪伴心理學》",,"February 9, 2023 3:23 PM","February 9, 2023 3:23 PM",36,imac-fly,0
請你在做冥想的五或十分鐘前就坐下來，這樣就能在適當的心態下，展開冥想練習。,《Headspace冥想正念手冊》,,"April 20, 2022 3:38 PM","May 4, 2023 9:57 PM",37,imac-fly,379
靜坐冥想的主要目的，就是在你和你的肉身、心智身及能量身之間創造出一定的距離。,《薩古魯談業力》,,"November 27, 2022 7:13 PM","May 4, 2023 9:57 PM",38,imac-fly,158
"冥想的重點並非得到什麼，而是「做就對了」。別抱任何期待，平心靜氣去做就好。","《在都市窩居10年，我過得還不錯》",,"February 15, 2023 10:01 AM","February 15, 2023 10:01 AM",39,imac-fly,0
冥想的目的，並不是要獲得什麼成就，而是要學習覺察，學習自在停歇在自然覺察的狀態。,《Headspace冥想正念手冊》,,"July 15, 2022 9:18 AM","April 27, 2023 3:51 PM",40,imac-fly,286
「我們知道有四件事能改善腦部健康和功能，」斯坦因說：「冥想、健身、睡眠、營養。」,《更富有、更睿智、更快樂》,,"June 2, 2022 5:57 PM","June 2, 2022 5:57 PM",40,imac-fly,0
我們現在談的是一般的正念，不是特定的正念冥想，所以不需要閉上眼睛，也不需要聚焦。,《Headspace冥想正念手冊》,,"April 24, 2022 8:36 AM","May 4, 2023 9:57 PM",40,imac-fly,375
冥想練習能使人放下判斷，放下對生活其他樣貌的憧憬，接受生活的每個時刻及其本來面貌。,《最後一次相遇，我們只談喜悅》,,"July 9, 2022 5:55 AM","July 9, 2022 5:55 AM",41,imac-fly,0
"要讓你的腦停止模擬未來極為困難，有些精細的方法（例如冥想）就是設計來辦成這件事。","《2050科幻大成真（2019年全新封面版）》",,"March 31, 2023 11:31 AM","March 31, 2023 11:31 AM",42,imac-fly,0
"真真正正存在於當下，活在當下，是覺知冥想的目標之一，許多人為了達此境界，練習多年。","《娥蘇拉．勒瑰恩的小說工作坊》",,"February 25, 2023 11:44 PM","February 25, 2023 11:44 PM",43,imac-fly,0
藉由瑜伽的靜坐冥想方法，人可以去除這種無明，進而覺知到自己的本性，那個清淨、圓滿的本來。,"《王道瑜伽》",,"January 1, 2023 10:44 PM","May 4, 2023 9:57 PM",44,imac-fly,122
純淨、平和、寧靜的心念，才是積極且健康的。冥想的過程，有助於心靈保持運轉的效率和積極性。,《冥想【全球暢銷20年經典版】：認識內在自我，與外在世界和諧共處，獲得真正的滿足》,,"April 13, 2022 10:31 AM","April 13, 2022 10:31 AM",44,imac-fly,0
知識優於修煉。冥想優於知識。放下行動的果實優於冥想。從放下（tyāga）可以立即獲得平靜。,《瑜伽與愛的真相》,,"April 15, 2022 2:23 PM","April 15, 2022 2:23 PM",45,imac-fly,0
如果能在聚焦和放鬆之間掌握好平衡，這項基本上算是相當激烈的冥想練習，做起來可以感覺毫不費力。,《Headspace冥想正念手冊》,,"April 29, 2022 10:06 AM","May 4, 2023 9:57 PM",46,imac-fly,370
真正的冥想是沒有思維、無念的狀態。事實上，在冥想中，你不需要阻止自己的思維，它會自發地停止。,《冥想【全球暢銷20年經典版】：認識內在自我，與外在世界和諧共處，獲得真正的滿足》,,"April 13, 2022 10:29 AM","April 13, 2022 10:29 AM",46,imac-fly,0
五年前開始規律地練習正念冥想，這是改變我最大的習慣。好像我的大腦經過重塑（或許真的有被重塑）。,《人生給的答案Ⅱ》,,"November 20, 2022 11:35 AM","November 20, 2022 11:35 AM",47,imac-fly,0
"這種專注的冥想態度是最高的活動，是一種靈魂的活動，只有在擁有內在自由和獨立的條件下方能產生。","《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》",,"February 23, 2023 8:16 PM","February 23, 2023 8:16 PM",48,imac-fly,0
大腦冥想時的變化。根據他的說法，我們的注意力與意識會建構出神經活化模式，避免大腦產生破壞性反應。,《最後一次相遇，我們只談喜悅》,,"May 1, 2022 10:04 PM","May 4, 2023 9:58 PM",48,imac-fly,367
若你從冥想體驗到美好的平靜感之後，轉身就對你接觸到的第一個人失控抓狂，這冥想對你實在沒有多大益處。,《Headspace冥想正念手冊》,,"April 24, 2022 8:40 AM","May 4, 2023 9:58 PM",49,imac-fly,375
"我這樣做並不是浪費生命，反而是超越了我平常的有限生命，讓我體會到東方人所謂的冥想與無為是什麼意思。","《湖濱散記【當代經典《華爾登湖》全新中譯本】》",,"February 17, 2023 7:15 PM","February 17, 2023 7:15 PM",51,imac-fly,0
萊兒發現這個方法很有用，她說，每次她要記錄一個不做冥想的原因時，她會發現真的很弱，乾脆打消念頭，去做。,《Headspace冥想正念手冊》,,"May 17, 2022 7:59 AM","May 4, 2023 9:58 PM",51,imac-fly,352
若你分心了，那就不是冥想；唯有不分心，才是冥想。沒有好冥想或壞冥想這種東西，只有分不分心，覺察或未覺察。,《Headspace冥想正念手冊》,,"July 24, 2022 10:57 PM","May 4, 2023 9:58 PM",52,imac-fly,283
他說，他覺得練習冥想很難，經常會再度陷入憤怒中，但是當他記得提醒自己時，感覺一切就會突然變得更柔軟一些。,《Headspace冥想正念手冊》,,"May 17, 2022 8:02 AM","May 17, 2022 8:02 AM",52,imac-fly,0
冥想體驗到的深層休息，功效遠遠大於你多睡的那10分鐘。更何況，和睡眠不同，冥想提供的休息，是你能夠意識到。,《Headspace冥想正念手冊》,,"May 29, 2022 2:20 PM","May 4, 2023 9:58 PM",53,imac-fly,340
但冥想可能使他變得更加覺察他的憤怒感。我告訴他，用憤怒來回應憤怒是本能反應、可以理解，但不是最有益的做法。,《Headspace冥想正念手冊》,,"May 17, 2022 8:00 AM","May 17, 2022 8:00 AM",53,imac-fly,0
你知道嗎？學習靜坐冥想的人，有時就是在這個時候說出很好笑的話，開始把他們的思想和感覺怪罪於冥想，你能相信嗎？,《Headspace冥想正念手冊》,,"May 29, 2022 2:22 PM","May 29, 2022 2:22 PM",54,imac-fly,0
"擁抱冥想和正念技巧的信徒發現，活在當下有助於真正清除腦裡有害且不必要的消極思想，取而代之以更積極、有益的想法。","《為什麼要戀愛》",,"February 19, 2023 8:53 PM","February 19, 2023 8:53 PM",57,imac-fly,0
吸系統、心臟、大腦和自主神經系統，都要依靠著呼吸的調節才能正常地運作，要是這些生理過程不和諧，就會阻礙冥想的進步。,"《冥想【全球暢銷20年經典版】：認識內在自我，與外在世界和諧共處，獲得真正的滿足》",,"February 15, 2023 7:06 PM","May 4, 2023 9:58 PM",57,imac-fly,78
十秒冥想練習，在腦海中想著一個你在乎的人，然後希望這個人快樂，保持這個想法，維持三次呼吸，就能讓大腦放鬆心跳放緩。,"《越無聊，越開竅》",,"January 16, 2023 12:08 PM","February 5, 2023 10:17 AM",57,imac-fly,19
研究發現，受試者養成冥想的習慣後，不僅減少放空的頻率，也可以在放空前專注更久，這正好是衡量注意力品質的其中兩項指標。,《極度專注力》,,"April 26, 2022 10:25 AM","April 26, 2022 10:25 AM",58,imac-fly,0
就算沒有冥想或瑜珈，我們也能舒解壓力和產生快樂的感覺。研究顯示，你只要散個步便能提振心情，根本不需要記錄你走了多少步。,《失控的努力文化》,,"July 27, 2022 8:10 AM","July 27, 2022 8:10 AM",59,imac-fly,0
自由的奧義，或許不過就是延長從接收到刺激到產生反應之間短促的時間。冥想似乎能延長這段間隔，開發我們選擇如何反應的能力。,《最後一次相遇，我們只談喜悅》,,"May 31, 2022 1:57 PM","May 31, 2022 1:57 PM",59,imac-fly,0
早上必做的三件事要啟動美好的一天，必須先做以下三件事：活動身體，產生幹勁利用冥想或深呼吸，使頭腦清晰查看一天的行程表。,《24小時全為己所用》,,"May 24, 2022 7:07 PM","May 4, 2023 9:58 PM",59,imac-fly,345
她試過瑜伽、冥想、慢跑和游泳，到目前為止，沒有什麼比士力架更能淨化心靈，這是終極療法，便宜，還可以裝在包包裡隨身攜帶。,《人體標本師》,,"April 29, 2022 2:42 PM","April 29, 2022 2:42 PM",59,imac-fly,0
冥想者的學習目的就是淨化心念，讓它變得專注。他們可以精準地收集感官資料，對事物進行清晰的認知，不會產生扭曲或含混的情況。,《冥想【全球暢銷20年經典版】：認識內在自我，與外在世界和諧共處，獲得真正的滿足》,,"April 13, 2022 10:15 AM","April 13, 2022 10:15 AM",60,imac-fly,0
當你坐下來開始冥想時，你的心智就像這匹野馬，你不能因為你像雕像般靜坐冥想，就期望你的心智會突然靜止於一地。當你帶著這匹野馬,這狂野的心智,,"July 15, 2022 9:13 AM","July 15, 2022 9:13 AM",61,imac-fly,0
"引導你去觀察並改變自己與呼吸、身體感官或外在環境的關係的「引導冥想」（guided meditation）是最好的選擇。","《清醒夢療法》",,"March 2, 2023 1:16 AM","March 2, 2023 1:16 AM",62,imac-fly,0
冥想可以幫上忙，不過你也可以四處亂走、看看路會通往哪裡，挑不同的路線上班，或是開始攝影、賞鳥、寫生或寫日記，和小朋友一起玩。,《人生4千個禮拜》,,"July 16, 2022 10:09 PM","May 4, 2023 9:58 PM",62,imac-fly,291
歷經時間，這會變得愈來愈容易，你會不想太常跑到路上，發覺自己只是安坐在路邊，觀看各種思緒流過變得愈來愈容易，這就是冥想的過程。,《Headspace冥想正念手冊》,,"May 10, 2022 12:47 PM","May 4, 2023 9:58 PM",63,imac-fly,359
生產性冥想的目標是，花一段你會用上體力、但不用腦力的時間──散步、慢跑、駕車、淋浴等──並集中你的注意力在單一而明確的職業問題上。,《DeepWork深度工作力【暢銷新裝版】》,,"July 11, 2022 6:59 AM","March 27, 2023 3:54 PM",65,imac-fly,259
別忘了，冥想的目的，並不是要獲得什麼成就，而是要學習覺察，學習自在停歇在自然覺察的狀態（這種不同於生活中汲汲營營的感覺非常美好。）,《Headspace冥想正念手冊》,,"May 15, 2022 6:39 PM","May 15, 2022 6:39 PM",65,imac-fly,0
有些聲音能安撫人，有些聲音會刺激人，偉大的音樂作品聽個十分鐘就等於是在冥想。赤足隨著鼓聲跳上五分鐘，便足以讓內在藝術家感覺煥然一新。,《創作，是心靈療癒的旅程》,,"September 20, 2022 11:34 PM","September 20, 2022 11:34 PM",66,imac-fly,0
"真理必須以生活經驗為基礎。禪門弟子說，枯坐冥想不是他們要做的事。當然，他們也會靜坐禪修；但是前提是他們必須把工作裡學到的東西融會貫通。","《鈴木大拙禪學入門》",,"March 28, 2023 8:58 AM","March 28, 2023 8:58 AM",69,imac-fly,0
