Name,Description,Note,Created,Last edited time,length,Created by,Days
走路快、呼吸慢。,"《愈「動」愈成功》",,"March 23, 2023 2:09 PM","March 27, 2023 4:03 PM",8,imac-fly,4
呼吸讓你的注意力有個定點。,《正念》,,"July 10, 2022 9:26 AM","May 4, 2023 10:08 PM",13,imac-fly,298
四足動物則依靠呼吸來散熱。,《身體》,,"April 27, 2022 5:01 PM","May 1, 2023 10:02 AM",13,imac-fly,368
清楚呼吸法是學習硬舉的前提。,《抗老化，你需要大重量訓練》,,"July 15, 2022 9:36 AM","May 4, 2023 10:08 PM",14,imac-fly,293
常常做深呼吸，長吸氣，長吐氣。,《好睡：新的睡眠科學與醫學》,,"July 8, 2022 8:44 PM","May 4, 2023 10:08 PM",15,imac-fly,300
理想的呼吸是細、長、慢、勻、深。,"《鬆開的技、道、心》",,"April 29, 2023 9:05 AM","May 4, 2023 10:09 PM",16,imac-fly,5
呼吸法會是大重量訓練的關鍵技術。,《抗老化，你需要大重量訓練》,,"June 1, 2022 8:46 AM","May 4, 2023 10:12 PM",16,imac-fly,337
有力量的發言需要穩定可靠的呼吸供給。,"《即興表達力》",,"May 2, 2023 8:50 PM","May 4, 2023 10:09 PM",18,imac-fly,2
做自己相信的事。留下可以呼吸的空間。,《激流與倒影》,,"December 3, 2022 4:45 PM","December 3, 2022 4:45 PM",18,imac-fly,0
想像呼吸從你專注的身體部位吸入或呼出。,"《覺察：通往身心靈整合的科學冥想練習》",,"May 2, 2023 11:00 PM","May 4, 2023 10:09 PM",19,imac-fly,1
花點時間靜坐或深呼吸可以代替午睡補眠。,《選3哲學：聚焦3件事，解決工作生活兩難，搞定你的超載人生》,,"September 23, 2022 7:39 PM","April 28, 2023 12:35 PM",19,imac-fly,216
電話響時，接聽之前我會先深呼吸、微笑。,《原子習慣》,,"June 23, 2022 11:58 AM","May 2, 2023 7:00 PM",19,imac-fly,313
對古羅馬人來說，人類的生命始於第一次呼吸。,《生命的一百種定義》,,"October 17, 2022 1:53 PM","May 2, 2023 1:37 PM",21,imac-fly,196
血液偏鹼性，呼吸量就會降低，使二氧化碳變多。,"《改變人生的最強呼吸法！》",,"March 25, 2023 10:04 AM","May 4, 2023 10:09 PM",22,imac-fly,40
過敏會導致鼻塞、張嘴呼吸，造成睡眠品質下降。,"《快眠地圖》",,"March 22, 2023 5:04 PM","April 28, 2023 12:35 PM",22,imac-fly,36
隨著每一次有意識的呼吸，我們就能夠感到幸福。,《諦聽與愛語》,,"November 25, 2022 12:00 PM","November 25, 2022 12:00 PM",22,imac-fly,0
"張嘴呼吸會使大量水分消散，有可能導致脫水。","《改變人生的最強呼吸法！》",,"March 25, 2023 9:58 AM","March 25, 2023 9:58 AM",23,imac-fly,0
只要記得，深呼吸不是大口呼吸，而只是輕輕鬆鬆地。,"《呼吸，為了療癒》",,"May 4, 2023 6:47 PM","May 4, 2023 10:09 PM",24,imac-fly,0
"有意識的呼吸，是以正念滋養身體與心理的好方法。","《不思量的藝術》",,"March 28, 2023 9:31 PM","March 28, 2023 9:31 PM",25,imac-fly,0
"決定呼吸效率的最大因素不是氧氣，而是二氧化碳。","《改變人生的最強呼吸法！》",,"March 25, 2023 9:54 AM","March 25, 2023 9:54 AM",25,imac-fly,0
只看遷入而不看遷出就像考量呼吸這個動作時排除了吐氣。,《新游牧者之歌》,,"September 17, 2022 12:57 PM","May 4, 2023 10:09 PM",26,imac-fly,229
呼吸是自然且微微變動的專注對象；它把你拉回此時此地。,《正念》,,"July 10, 2022 9:25 AM","April 27, 2023 3:40 PM",26,imac-fly,291
或許除了呼吸與眨眼外，沒有人會每七秒鐘做一件什麼事。,《身體》,,"May 24, 2022 1:00 PM","May 24, 2022 1:00 PM",26,imac-fly,0
理想的順序是：先練動功，再做呼吸練習，然後放鬆靜坐。,《呼吸的自癒力》,,"April 13, 2022 3:03 PM","May 4, 2023 10:09 PM",26,imac-fly,386
